;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Wed Jul 28 00:11:27 +0000 2021;1420175030001049603;1420175030001049603;Bolsonaro tem medo de duas coisas que não existem: ameaça comunista e terceira via eleitoral. https://t.co/tVAUFXNZBo;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tVAUFXNZBo', 'expanded_url': 'https://twitter.com/aimcmoreira/status/1420174211868418049', 'display_url': 'twitter.com/aimcmoreira/st…', 'indices': [94, 117]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 2787174459, 'id_str': '2787174459', 'name': 'cleitonsotte', 'screen_name': 'cleitonsotte', 'location': 'Itanhaém/SP', 'description': 'Meio fraco. Esperava mais.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 172, 'friends_count': 432, 'listed_count': 3, 'created_at': 'Sat Sep 27 14:34:10 +0000 2014', 'favourites_count': 24113, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 19445, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1150562669625319430/S0jnl2ET_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1150562669625319430/S0jnl2ET_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2787174459/1501637476', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
1;Wed Jul 28 00:11:23 +0000 2021;1420175014456877062;1420175014456877062;@edumilsonpapo10 Bolsonaro sempre foi corrupto,este papo de anticorrupção,foi um teatro e que funcionou,mas agora t… https://t.co/TbG4cnDyHz;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'edumilsonpapo10', 'name': 'Edumilson Papo 10', 'id': 1395461549549043714, 'id_str': '1395461549549043714', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/TbG4cnDyHz', 'expanded_url': 'https://twitter.com/i/web/status/1420175014456877062', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4201572689774592e+18;1420157268977459200;1.3954615495490437e+18;1395461549549043714;edumilsonpapo10;{'id': 1320148021024346114, 'id_str': '1320148021024346114', 'name': 'Marta Souza', 'screen_name': 'MartaSo72177141', 'location': '', 'description': 'Amar a vida!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 24, 'friends_count': 124, 'listed_count': 0, 'created_at': 'Sat Oct 24 23:40:16 +0000 2020', 'favourites_count': 1375, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2273, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1325945474461872128/jhrjuLzW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1325945474461872128/jhrjuLzW_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Wed Jul 28 00:11:23 +0000 2021;1420175013567680523;1420175013567680523;@filipesabino9x2 @JogadoresGalo @resistalvinegra Eu? Velho… nem sei quem é essa… nunca fez nada nem na terra dela,… https://t.co/zm04H1A1NZ;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'filipesabino9x2', 'name': 'Francisco Filipe', 'id': 775553468534784000, 'id_str': '775553468534784000', 'indices': [0, 16]}, {'screen_name': 'JogadoresGalo', 'name': 'Já Joguei No Galo', 'id': 721582525685084160, 'id_str': '721582525685084160', 'indices': [17, 31]}, {'screen_name': 'resistalvinegra', 'name': 'Resistência Alvinegra', 'id': 1258463520561205249, 'id_str': '1258463520561205249', 'indices': [32, 48]}], 'urls': [{'url': 'https://t.co/zm04H1A1NZ', 'expanded_url': 'https://twitter.com/i/web/status/1420175013567680523', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4201592036295762e+18;1420159203629576193;7.75553468534784e+17;775553468534784000;filipesabino9x2;{'id': 77458930, 'id_str': '77458930', 'name': 'Marlúcio Pinho', 'screen_name': 'marluciopinho', 'location': 'Campinas, Brasil', 'description': 'Aqui é Galo, defensor do livre mercado, sem paciência para mimizentos de direita e esquerda!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 184, 'friends_count': 1117, 'listed_count': 0, 'created_at': 'Sat Sep 26 12:02:20 +0000 2009', 'favourites_count': 5395, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 4437, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1413239486796992514/7dZCXRyx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1413239486796992514/7dZCXRyx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/77458930/1587501552', 'profile_link_color': '2FC2EF', 'profile_sidebar_border_color': '181A1E', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Wed Jul 28 00:11:23 +0000 2021;1420175011881570304;1420175011881570304;bolsonaro 🗣 https://t.co/SQttUa3lpR;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SQttUa3lpR', 'expanded_url': 'https://twitter.com/szamatheus/status/1420049424881963019', 'display_url': 'twitter.com/szamatheus/sta…', 'indices': [12, 35]}]};{'iso_language_code': 'es', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 757360961753911297, 'id_str': '757360961753911297', 'name': 'calebe', 'screen_name': 'caleberchagas', 'location': 'Porto Alegre, Brasil', 'description': 'wild at heart', 'url': 'https://t.co/E6hzn6MO6r', 'entities': {'url': {'urls': [{'url': 'https://t.co/E6hzn6MO6r', 'expanded_url': 'http://Instagram.com/calebechagas', 'display_url': 'Instagram.com/calebechagas', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 616, 'friends_count': 592, 'listed_count': 0, 'created_at': 'Sun Jul 24 23:44:59 +0000 2016', 'favourites_count': 30009, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 11517, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417799019485700097/mWTJzg2t_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417799019485700097/mWTJzg2t_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/757360961753911297/1624112461', 'profile_link_color': '91D2FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
4;Wed Jul 28 00:11:21 +0000 2021;1420175006894628864;1420175006894628864;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/YEAi7SWWwU";True;{'hashtags': [{'text': 'ForaRodrigoPacheco', 'indices': [17, 36]}, {'text': 'ForaRicardoBarros', 'indices': [37, 55]}, {'text': 'PachecoCONIVENTE', 'indices': [56, 73]}, {'text': 'BolsonaroCorrupto', 'indices': [74, 92]}, {'text': '24JForaBolsonaro', 'indices': [93, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YEAi7SWWwU', 'expanded_url': 'https://twitter.com/i/web/status/1420175006894628864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]};{'iso_language_code': 'es', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 751523910, 'id_str': '751523910', 'name': 'edmundo', 'screen_name': 'edmundo3emeio', 'location': '', 'description': '✌️🖖', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 68, 'friends_count': 110, 'listed_count': 0, 'created_at': 'Sat Aug 11 16:25:31 +0000 2012', 'favourites_count': 56075, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 38589, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1134817103347933185/SWA2KEyq_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1134817103347933185/SWA2KEyq_normal.jpg', 'profile_link_color': '990000', 'profile_sidebar_border_color': 'DFDFDF', 'profile_sidebar_fill_color': 'F3F3F3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;1;False;False
5;Wed Jul 28 00:11:21 +0000 2021;1420175005606977544;1420175005606977544;@LulaOficial Meu Deus que vergonha!! Quem tiver memória não vota em vc é muito menos no Bolsonaro.  Lula na boa vc… https://t.co/u53ZYn7Qnk;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LulaOficial', 'name': 'Lula', 'id': 2670726740, 'id_str': '2670726740', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/u53ZYn7Qnk', 'expanded_url': 'https://twitter.com/i/web/status/1420175005606977544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4200040576835666e+18;1420004057683566592;2670726740.0;2670726740;LulaOficial;{'id': 866058184586403841, 'id_str': '866058184586403841', 'name': 'valeria santana', 'screen_name': 'valeria63197830', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 16, 'friends_count': 121, 'listed_count': 0, 'created_at': 'Sat May 20 22:28:56 +0000 2017', 'favourites_count': 2714, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1379, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1404034093503987718/-FdRl15f_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1404034093503987718/-FdRl15f_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Wed Jul 28 00:11:21 +0000 2021;1420175005132918788;1420175005132918788;Eu criei uma paranóia dentro da minha mente que as olimpíadas favorecem o Bolsonaro de arquitetar o golpe de estado… https://t.co/PCqSlT5lUF;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PCqSlT5lUF', 'expanded_url': 'https://twitter.com/i/web/status/1420175005132918788', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1277757914334273536, 'id_str': '1277757914334273536', 'name': 'luiz, o trava zappa ☭︎', 'screen_name': 'thechangexling', 'location': '', 'description': 'ele/dele - he/him | 14y | antigo @mr_lukyrisin', 'url': 'https://t.co/RozPHdIoJz', 'entities': {'url': {'urls': [{'url': 'https://t.co/RozPHdIoJz', 'expanded_url': 'http://babysnakes.carrd.co', 'display_url': 'babysnakes.carrd.co', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 768, 'friends_count': 845, 'listed_count': 4, 'created_at': 'Tue Jun 30 00:16:55 +0000 2020', 'favourites_count': 3088, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2287, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420159206884364288/nAQ4k05z_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420159206884364288/nAQ4k05z_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1277757914334273536/1627427315', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Wed Jul 28 00:11:21 +0000 2021;1420175004138938379;1420175004138938379;@brasil247 Como pode falar tanta asneira e nao  acontecer nada com esse verme Carlos Bolsonaro.;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'brasil247', 'name': 'Brasil 247', 'id': 248890506, 'id_str': '248890506', 'indices': [0, 10]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4200320779495137e+18;1420032077949513731;248890506.0;248890506;brasil247;"{'id': 69557645, 'id_str': '69557645', 'name': 'Nilda Perini♥️🌷🚩🚩🚩', 'screen_name': 'nildacasagrande', 'location': ""Brasil, Santa Barbara d' Oeste"", 'description': 'Onde quer que vá, vá com todo coração. Confucio 551-479 a.c\nAutônoma em administração.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 349, 'friends_count': 764, 'listed_count': 0, 'created_at': 'Fri Aug 28 10:37:38 +0000 2009', 'favourites_count': 19062, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 8050, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '9AE4E8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1273106555936952321/BS3B7PJl_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1273106555936952321/BS3B7PJl_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/69557645/1625269387', 'profile_link_color': 'FF2BFF', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': 'FF3BFF', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
8;Wed Jul 28 00:11:20 +0000 2021;1420175002310225925;1420175002310225925;Axl votaria no Bolsonaro;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'es', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1419758469587083269, 'id_str': '1419758469587083269', 'name': '𝐥𝐨𝐬𝐭', 'screen_name': 'imnotxysn', 'location': '', 'description': '📼 • 𝚍𝚘𝚠𝚗 𝚒𝚗 𝚊 𝚑𝚘𝚕𝚎 💿', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 60, 'friends_count': 86, 'listed_count': 0, 'created_at': 'Mon Jul 26 20:36:24 +0000 2021', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 17, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419766329469440003/iPULiOGw_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419766329469440003/iPULiOGw_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1419758469587083269/1627334229', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Wed Jul 28 00:11:20 +0000 2021;1420175002075344898;1420175002075344898;🇧🇷 Au Brésil, des prêtres de Fortaleza intimidés par des sympathisants de Jair Bolsonaro https://t.co/9GlMiKDQd8 #bresil #brasil #brazil;False;{'hashtags': [{'text': 'bresil', 'indices': [113, 120]}, {'text': 'brasil', 'indices': [121, 128]}, {'text': 'brazil', 'indices': [129, 136]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9GlMiKDQd8', 'expanded_url': 'https://zpr.io/JAqGT9XUja3U', 'display_url': 'zpr.io/JAqGT9XUja3U', 'indices': [89, 112]}]};{'iso_language_code': 'fr', 'result_type': 'recent'};"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>";;;;;;{'id': 1337125104313118722, 'id_str': '1337125104313118722', 'name': 'Forum Brésil 🇧🇷', 'screen_name': 'BresilForum', 'location': '', 'description': 'Passionné(e)s du Brésil ! Retrouvez nous sur https://t.co/jqnM82k4EB 🇧🇷', 'url': 'https://t.co/fakFzj885c', 'entities': {'url': {'urls': [{'url': 'https://t.co/fakFzj885c', 'expanded_url': 'https://forum-bresil.com/', 'display_url': 'forum-bresil.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/jqnM82k4EB', 'expanded_url': 'http://forum-bresil.com', 'display_url': 'forum-bresil.com', 'indices': [45, 68]}]}}, 'protected': False, 'followers_count': 64, 'friends_count': 158, 'listed_count': 1, 'created_at': 'Thu Dec 10 20:01:00 +0000 2020', 'favourites_count': 562, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1085, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1337125285397999616/WKZUDVDQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1337125285397999616/WKZUDVDQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1337125104313118722/1607630566', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
