;text
0;"@MohamedAharrou @mikepessi_boxe @YasirQadhi ""Third atheist blogger killed in Bangladesh knife attack"" https://t.co/JBaVrYw1Zu"
1;Me deu vontade de fazer boxe. Saudades de dar porrada em saco de areia
2;22h tem boxe masculino 90kg hein
3;"@curryneymarzete 01:24 - Tiro com Arco com Vinícius D'Almeida 🎯
01:50 - Canoagem Slalom  com Pedro Gonçalves 🛶
02:1… https://t.co/TeQoglAEoM"
4;achei engraçado esse boxe natacao e vinicius https://t.co/ocxdgHJwyr
5;@realapplew @Boxe_dJuice @JustaMinx ur kidding right
6;mais um dia que marquei com o prof de boxe p treina as 08:30 da manhã. são 22:02 do dia anterior e eu já to arrependida 🤡🤡
7;preciso voltar a treinar boxe
8;je cherche un bon club de boxe pour la rentré arg
9;Boxe, Baalla come Tyson: cerca di mordere un orecchio all'avversario, squalificato https://t.co/kvp3Vaq4Mx
10;Olimpiadi di Tokyo, boxe: tenta di mordere l’avversario come Tyson, la folle reazione di Baalla https://t.co/6L7ffuKfdL
11;Alors @orange_sn 100Mega la abonné si yène mais souma beuguè sètane Tv je suis obligé ma connecter 4G bou Free Sene… https://t.co/9J2cp2WYYf
12;"descobri hoje que a bia do vôlei é de sorocaba 😶 
ela, o abner do boxe e o brenno goleiro do fut 🤞🏻 lindos"
13;minha professora de boxe tá faltando, o professor substituto é mt chato e depois  do boxe eu teria q treinar braço…… https://t.co/X6rutpr0cZ
14;"23:05 - Vela Masc (Finn, 49er e 470) e Fem (RS:X)
23:26 - Natação Masc (4x200 livre) e Tenis Fem (Pigossi e Stefani… https://t.co/RCLwiqHh8r"
15;JO Tokyo 2020 – Boxe : 1ère victoire pour la RDC, David Tshama passe en 8e de finale https://t.co/JEJX0LwKbj
16;@xnixismo @sbdtrouxa @jaquesaokaua @baldwndie @gabi45614 @juliadIucca Temos campeões mundiais e top 1 no ranking de… https://t.co/iVCiTswMAy
17;só murrao na sua xereca minha piroca luta boxe
18;@lequipe Le Luis Suarez de la boxe
19;@brunoeduardo117 @sbdtrouxa @jaquesaokaua @baldwndie @gabi45614 @juliadIucca Futebol é uma modalidade só das 46. Br… https://t.co/qeLDxltzOV
20;Ils mettent que les vieux sport des jo à la télé c’est sur quel chaîne la boxe , la lutte etc..?
21;@xnixismo @sbdtrouxa @jaquesaokaua @baldwndie @gabi45614 @juliadIucca Beatriz Ferreira atual campeã mundial no boxe… https://t.co/EvXmHBVxrn
22;@sergiofloris Mas a resposta correta é Boxe.
23;!!! https://t.co/G63Ih00ejJ
