;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Wed Jul 28 02:52:06 +0000 2021;1420215461262905344;1420215461262905344;@vaivictin agora ta tendo volei de praia e vai ter vela a partir de meia noite, tem natação, canoagem e boxe entre os horários de vela;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vaivictin', 'name': 'victin', 'id': 2477764301, 'id_str': '2477764301', 'indices': [0, 10]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4202149052323717e+18;1420214905232371712;2477764301.0;2477764301;vaivictin;{'id': 291876068, 'id_str': '291876068', 'name': 'pedro (de repente patriota 🇧🇷)', 'screen_name': 'pedrolcss', 'location': 'BH', 'description': 'you wanna turn it up loud, future nostalgia is the name 🌕', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 543, 'friends_count': 620, 'listed_count': 4, 'created_at': 'Mon May 02 19:13:28 +0000 2011', 'favourites_count': 63395, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 73070, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '00A3F5', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418780535183187973/AokGYk-P_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418780535183187973/AokGYk-P_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/291876068/1624496365', 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Wed Jul 28 02:50:56 +0000 2021;1420215166520672258;1420215166520672258;ai vai dar boxe;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1849639736, 'id_str': '1849639736', 'name': 'moni', 'screen_name': 'darhklance', 'location': 'kari sandy lena · shea squad🍏', 'description': 'you make me more · mundinho amanda döring br · @lesbout_br (ela/dela - she/her)', 'url': 'https://t.co/fF4TF9qgfG', 'entities': {'url': {'urls': [{'url': 'https://t.co/fF4TF9qgfG', 'expanded_url': 'https://linktr.ee/monicagabrielly', 'display_url': 'linktr.ee/monicagabrielly', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 397, 'friends_count': 300, 'listed_count': 4, 'created_at': 'Mon Sep 09 22:39:45 +0000 2013', 'favourites_count': 5258, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 49371, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420116917654892547/Ukr91zVT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420116917654892547/Ukr91zVT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1849639736/1626489169', 'profile_link_color': '981CEB', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Wed Jul 28 02:50:32 +0000 2021;1420215064930488321;1420215064930488321;"@maridcr_ como todos na porrada
eu luto boxe";False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maridcr_', 'name': 'mona lisa tipo lisa', 'id': 3027514967, 'id_str': '3027514967', 'indices': [0, 9]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4201724126126449e+18;1420172412612644865;3027514967.0;3027514967;maridcr_;{'id': 2610897061, 'id_str': '2610897061', 'name': 'chica', 'screen_name': 'mfdckchica', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 563, 'friends_count': 326, 'listed_count': 1, 'created_at': 'Tue Jul 08 02:32:51 +0000 2014', 'favourites_count': 12817, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 30952, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419439940463730701/hIHIhpcA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419439940463730701/hIHIhpcA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2610897061/1625372193', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Wed Jul 28 02:49:40 +0000 2021;1420214848454119428;1420214848454119428;@KanoaIgarashi Seu lixo, vamo 5 minutinhos no boxe? Japonês otário;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KanoaIgarashi', 'name': 'Kanoa Igarashi', 'id': 82727711, 'id_str': '82727711', 'indices': [0, 14]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.420168639416705e+18;1420168639416705024;82727711.0;82727711;KanoaIgarashi;{'id': 171809503, 'id_str': '171809503', 'name': 'Vinícius Kemps', 'screen_name': 'kempsFFC_', 'location': 'Areias, São José', 'description': '@FigueirenseFC acima de tudo! 1921 ⚫⚪\n@ManCity', 'url': 'https://t.co/uueWywyAtS', 'entities': {'url': {'urls': [{'url': 'https://t.co/uueWywyAtS', 'expanded_url': 'https://www.instagram.com/kempsffc_', 'display_url': 'instagram.com/kempsffc_', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 682, 'friends_count': 596, 'listed_count': 1, 'created_at': 'Wed Jul 28 06:17:42 +0000 2010', 'favourites_count': 9148, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 47774, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1398753004329836555/sqgedfqg_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1398753004329836555/sqgedfqg_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/171809503/1595632413', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Wed Jul 28 02:49:35 +0000 2021;1420214827415445504;1420214827415445504;Eu queria tanto continuar acordada pra assistir as coisas, principalmente o boxe mas eu tô com tanto tanto sono que… https://t.co/jqblf8NCLt;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jqblf8NCLt', 'expanded_url': 'https://twitter.com/i/web/status/1420214827415445504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1080943262926626817, 'id_str': '1080943262926626817', 'name': 'B r e a d ²⁸ ◟̽◞̽🏁🇧🇷', 'screen_name': '_forsythe_III', 'location': 'HARRY STYLES GRAMMY WINNER', 'description': 'does the little one with cheekbones knows that the prince is in love with him? || she/her', 'url': 'https://t.co/40Gllv8Las', 'entities': {'url': {'urls': [{'url': 'https://t.co/40Gllv8Las', 'expanded_url': 'https://twitter.com/Louis_Tomlinson/status/120620074301267968?s=19', 'display_url': 'twitter.com/Louis_Tomlinso…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 133, 'friends_count': 564, 'listed_count': 1, 'created_at': 'Thu Jan 03 21:45:31 +0000 2019', 'favourites_count': 14627, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 10646, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418801116058247169/wH4nbx0b_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418801116058247169/wH4nbx0b_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1080943262926626817/1627103458', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Wed Jul 28 02:46:29 +0000 2021;1420214044049428480;1420214044049428480;e eu que coloquei na mente que vou estar nas olimpíadas de 2024 lutando boxe...;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1208319145932181505, 'id_str': '1208319145932181505', 'name': 'Josue Chaves Guedes', 'screen_name': 'jjosuejunior', 'location': '', 'description': 'Instagram: @jjosuejunior', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 359, 'friends_count': 610, 'listed_count': 0, 'created_at': 'Sat Dec 21 09:32:06 +0000 2019', 'favourites_count': 11795, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 6442, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1409952057113591812/hsJsfTRl_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1409952057113591812/hsJsfTRl_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1208319145932181505/1619731920', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Wed Jul 28 02:46:05 +0000 2021;1420213945156218883;1420213945156218883;"virei a noite ontem e vou ficar acordado hoje ate depois das 2 pra ver boxe
eu te odeio olimpiadas https://t.co/sk43UlfxeP";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sk43UlfxeP', 'expanded_url': 'https://twitter.com/psicoshow/status/1420193707979116549', 'display_url': 'twitter.com/psicoshow/stat…', 'indices': [99, 122]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 726199393402146816, 'id_str': '726199393402146816', 'name': 'murilo.', 'screen_name': '_geladeira_', 'location': 'Galo👍🍃', 'description': 'assine o Premium para ter acesso a todos os meus tweets', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 258, 'friends_count': 388, 'listed_count': 1, 'created_at': 'Sat Apr 30 00:00:02 +0000 2016', 'favourites_count': 105102, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 32368, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '7FDBB6', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418422481468149763/Apc3khiu_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418422481468149763/Apc3khiu_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/726199393402146816/1607454462', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
7;Wed Jul 28 02:45:48 +0000 2021;1420213873429393408;1420213873429393408;@LuccaMattos11 não tenho TV a cabo, vou assistir o vôlei de praia e dps é o boxe eu acho, sem contar que o basquete… https://t.co/aujzNO0K9E;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LuccaMattos11', 'name': 'K1NG lucca HomemDoPovo', 'id': 1288530948628324352, 'id_str': '1288530948628324352', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/aujzNO0K9E', 'expanded_url': 'https://twitter.com/i/web/status/1420213873429393408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4202133110067773e+18;1420213311006777351;1.2885309486283244e+18;1288530948628324352;LuccaMattos11;{'id': 1280898166196502530, 'id_str': '1280898166196502530', 'name': 'Laker (x17) 💛💜', 'screen_name': 'caioblak13', 'location': '018', 'description': 'o nosso final feliz tem a ver com o começo', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 119, 'friends_count': 228, 'listed_count': 0, 'created_at': 'Wed Jul 08 16:15:05 +0000 2020', 'favourites_count': 3368, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 470, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1404247941540425731/I6QeQFkt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1404247941540425731/I6QeQFkt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1280898166196502530/1615752778', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Wed Jul 28 02:44:51 +0000 2021;1420213634375065600;1420213634375065600;modalidade preferida nas olimpíadas — JUDO E BOXE… https://t.co/oUlWS1KfSE;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oUlWS1KfSE', 'expanded_url': 'https://curiouscat.qa/z_piazza/post/1228460034', 'display_url': 'curiouscat.qa/z_piazza/post/…', 'indices': [51, 74]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1035577253218926592, 'id_str': '1035577253218926592', 'name': 'peps™️', 'screen_name': 'pepsssssssss', 'location': 'qualquer pronome', 'description': 'o barulho como forma de arte @warriors', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 298, 'friends_count': 955, 'listed_count': 0, 'created_at': 'Fri Aug 31 17:17:12 +0000 2018', 'favourites_count': 13295, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7463, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419497531898093569/3pu-T4oh_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419497531898093569/3pu-T4oh_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1035577253218926592/1609803630', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Wed Jul 28 02:44:16 +0000 2021;1420213486030925824;1420213486030925824;Galera vai ter brasileiro no boxe? Os baianos lutam quando? Confesso q queria dormir mais cedo hj;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;"{'id': 239151110, 'id_str': '239151110', 'name': 'Digo 13🌵🏹🌿', 'screen_name': 'D_RMS', 'location': 'Terra Sagrada', 'description': 'FLANEUR - OLHOS LIVRES - BIXO SOLTO \n\nVAGAMUNDO - PÉ DE POEIRA\n\n""Quem anda em trilho é trem d ferro\nSou água q corre entre pedras. Liberdade caça jeito""', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1868, 'friends_count': 1562, 'listed_count': 0, 'created_at': 'Sun Jan 16 23:21:52 +0000 2011', 'favourites_count': 44261, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 40676, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417106087686414338/MroLfj5-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417106087686414338/MroLfj5-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/239151110/1622457616', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;2;False;False
