;text
0;@finaisinesp Rayssa fadinha contagiando a sociedade
1;será que existe uma fadinha c pé 34? 🥲 tenho uma melissa NOVA p dar!!
2;vou chorar pq roupa de fadinha eh tao caroooooooooooooo
3;@lucas15dias @Igorsmf2 @rangerlol1 @acero_linha q coisa linda, trazer a hostilidade da torcida do futebol pra um ti… https://t.co/YQquxbVnRr
4;@juliette KAJDJDKAKAKAKA JULIETTE MULHER TU GOSTA DE UNS B.O NÉ, MAS ENFIM CHAMA A FADINHA PRA TE ENSINAR A ANDAR D… https://t.co/fmsuoxHtDF
5;@fadinha_21 Gostosa 😋
6;Cheguei no fundo do poço tô jogando de fadinha
7;lançar uma homenagem dessas pra fadinha https://t.co/pV421OsYe9
8;@AndreS_cwb Efeito Fadinha
9;@meunomehglau nossa próxima fadinha
10;A FADINHA PROFETIZOU NESSE AQUI  https://t.co/AJebeBqSI5
11;@fadinha_GBofc Meus sentimentos flor  saiba que ainde ela esta ela esta cuidando de vc
12;"Terminei a lore dos sentinelas e concluo as seguintes coisas:
Lucian insuportável in game e out
Deixei muito de gos… https://t.co/vxJIDVLZJG"
13;@Pesgrau não compare a fadinha com esse bosta ao n
14;"Na centauro e já vi um monte de crianças e pais/mães atrás de um skate, incluindo minha irmã 
Tá feliz fadinha??? Pq eu tô"
15;@icarushrryz fadinha
16;hiper realizada que meu tênis igual da fadinha @rayssaleal chegou
17;@poetrystimmy fadinha
18;O DE FADINHA MEU DEUSSSS https://t.co/LVr1TOsDDb
19;sim eu odeio fadinha sup pq eu sempre apanho pra elas
