;text
0;5 Podcast “As Crianças Importam” do Jornal Expresso, sobre o direito das crianças brincarem e que contou com a minh… https://t.co/UTgBDOeGhm
1;fmu me estressando logo na ultima semana de férias
2;cada mensagem que a fmu me envia eles aumentam a porcentagem da bolsa, vazou o desespero
3;Eu não desejo nem ao meu pior inimigo que estude na FMU, de verdade
4;@sualvescruz Ahahahaahaha, 🖐🏿 aluno FMU, temos mais um aqui. Kkkkkk....
5;@thaynaconte @byz_nanda @GJeneci Vamos ser colegas de  salaaaaaaaaaaa (isso se a fdp da FMU der um sinal 😩)
6;@byz_nanda Os humilhados pela FMU, que alívio de ter vocês KKKKKKKKKKKKK se não o surto seria maior
7;me recuso a acreditar que as aulas da fmu já vão voltar terça
8;Esperando ansiosamente o email da fmu
9;@byz_nanda fmu acha que a gnt é palhaço só pode
10;Ódio ao atendimento da fmu
11;e ta impossível falar com a faculdade fmu vai toma@no cuuuu
12;"@thaynaconte @byz_nanda trupe da fmu aqui então?
tô que nem sequelado esperando a resposta"
13;@byz_nanda eii eu tbm tô esperando resposta da FMU,.até mandei mensagem no wpp e disseram pra aguardar até amanhã pra receber uma resposta 🤡
14;"Mds do céu não tenho notícias nem do PROUNI e nem da FMU. Mandei meus documentos anteontem e até agr NADAAAAAAA.
PA… https://t.co/OtT902f95N"
15;"@Lrpaulino_ Da FMU? Nada ainda
Quando mandei meus documentos anteontem, só me enviaram isso 🥺 https://t.co/uD7f1LBC6X"
16;@ricardo_nunessp não tem vacina Astra Zeneca para segunda dose em São Paulo, shopping Vila Olímpia, FMU,  Jaques Fe… https://t.co/CmyHljGaeF
17;@estudioi não tem vacina em São Paulo , bela vista, centro, Moema , FMU, shopping Vila Olímpia , sem Astra Zeneca p… https://t.co/EwvyKLOKww
18;Depois de 457 dias brigando com a fmu FINALMENTE  consegui, obg Deus
19;mermão que história é essa que as aulas presenciais vão voltar na fmu? eu tô no Piauí CACETA
