;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Thu Jul 29 21:13:59 +0000 2021;1420855143805771776;1420855143805771776;"翼誕生日おめでとうー！！！🎉🎉🎂🎂
#伊吹翼生誕祭2021 https://t.co/QeLCfGoflJ";False;{'hashtags': [{'text': '伊吹翼生誕祭2021', 'indices': [18, 29]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1420855130719625216, 'id_str': '1420855130719625216', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/media/E7fkNp_VoAAyb7i.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E7fkNp_VoAAyb7i.jpg', 'url': 'https://t.co/QeLCfGoflJ', 'display_url': 'pic.twitter.com/QeLCfGoflJ', 'expanded_url': 'https://twitter.com/o_fmu/status/1420855143805771776/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 838, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1431, 'resize': 'fit'}, 'small': {'w': 680, 'h': 475, 'resize': 'fit'}}}]};{'iso_language_code': 'ja', 'result_type': 'recent'};"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";;;;;;{'id': 1015942093410168832, 'id_str': '1015942093410168832', 'name': 'ゲッソー', 'screen_name': 'o_fmu', 'location': '', 'description': 'ミリオン エレナ、茜/デレマス みく/シャニマス 甘奈、めぐる/ラブライブ！ 希 /アイカツ ゆめ/ミリシタラウンジ【Atelier】 無言フォロー失礼します アイコンはビス丸さん【@bisumar_u_f 】から頂いたものを使用しています', 'url': 'https://t.co/G3Pgf5dVxw', 'entities': {'url': {'urls': [{'url': 'https://t.co/G3Pgf5dVxw', 'expanded_url': 'http://twpf.jp/o_fmu', 'display_url': 'twpf.jp/o_fmu', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1269, 'friends_count': 1357, 'listed_count': 34, 'created_at': 'Sun Jul 08 12:54:05 +0000 2018', 'favourites_count': 66648, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 63468, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1382306036082647041/XeIesfZ6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1382306036082647041/XeIesfZ6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1015942093410168832/1611921929', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Thu Jul 29 21:09:19 +0000 2021;1420853970449453065;1420853970449453065;O que custa o PROUNI / FMU mandar um e-mail falando se está em análise????? CACETE;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 824236836, 'id_str': '824236836', 'name': '🍀', 'screen_name': 'byz_nanda', 'location': '', 'description': 'BaekHyun 💕\n🌼 EXOL 🌼', 'url': 'https://t.co/iAs5bhM2db', 'entities': {'url': {'urls': [{'url': 'https://t.co/iAs5bhM2db', 'expanded_url': 'http://instagram.com/beatriz.constantino', 'display_url': 'instagram.com/beatriz.consta…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 496, 'friends_count': 125, 'listed_count': 4, 'created_at': 'Sat Sep 15 00:21:26 +0000 2012', 'favourites_count': 147, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 9232, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/967446763551543298/XYRs9kgp_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/967446763551543298/XYRs9kgp_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/824236836/1441221815', 'profile_link_color': '94D487', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'regular', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Thu Jul 29 21:08:35 +0000 2021;1420853787259023362;1420853787259023362;5 Podcast “As Crianças Importam” do Jornal Expresso, sobre o direito das crianças brincarem e que contou com a minh… https://t.co/UTgBDOeGhm;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UTgBDOeGhm', 'expanded_url': 'https://twitter.com/i/web/status/1420853787259023362', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";;;;;;{'id': 829515682693931010, 'id_str': '829515682693931010', 'name': 'Odete Severino Soares', 'screen_name': 'OdeteSoares10', 'location': 'Lisboa, Portugal', 'description': 'Expert in human rights and children rights and PhD candidate in Nova School of Law. Podcast “As Crianças Importam”/“Children Matters” do Jornal Expresso', 'url': 'https://t.co/Pw70ge35mz', 'entities': {'url': {'urls': [{'url': 'https://t.co/Pw70ge35mz', 'expanded_url': 'http://www.blueonchildrenrights.com/wp', 'display_url': 'blueonchildrenrights.com/wp', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 279, 'friends_count': 568, 'listed_count': 1, 'created_at': 'Thu Feb 09 02:22:05 +0000 2017', 'favourites_count': 2455, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2222, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1257478536971067394/vOAcrCPJ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1257478536971067394/vOAcrCPJ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/829515682693931010/1582448441', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Thu Jul 29 20:53:30 +0000 2021;1420849989643763713;1420849989643763713;@k_vidar0905 お誕生日おめでとうございます！🎉🎂;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'k_vidar0905', 'name': 'ゔぃだーる', 'id': 3064845906, 'id_str': '3064845906', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'ja', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4207693810725233e+18;1420769381072523267;3064845906.0;3064845906;k_vidar0905;{'id': 1015942093410168832, 'id_str': '1015942093410168832', 'name': 'ゲッソー', 'screen_name': 'o_fmu', 'location': '', 'description': 'ミリオン エレナ、茜/デレマス みく/シャニマス 甘奈、めぐる/ラブライブ！ 希 /アイカツ ゆめ/ミリシタラウンジ【Atelier】 無言フォロー失礼します アイコンはビス丸さん【@bisumar_u_f 】から頂いたものを使用しています', 'url': 'https://t.co/G3Pgf5dVxw', 'entities': {'url': {'urls': [{'url': 'https://t.co/G3Pgf5dVxw', 'expanded_url': 'http://twpf.jp/o_fmu', 'display_url': 'twpf.jp/o_fmu', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1269, 'friends_count': 1357, 'listed_count': 34, 'created_at': 'Sun Jul 08 12:54:05 +0000 2018', 'favourites_count': 66648, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 63468, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1382306036082647041/XeIesfZ6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1382306036082647041/XeIesfZ6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1015942093410168832/1611921929', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Thu Jul 29 20:21:10 +0000 2021;1420841855533600769;1420841855533600769;"Appreciation tweet for FMU B25 
They made really good introductory video👏🏻 Carry on guys !! Looking forward for mor… https://t.co/L39WFFJKPk";True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L39WFFJKPk', 'expanded_url': 'https://twitter.com/i/web/status/1420841855533600769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;"{'id': 1236306523476942848, 'id_str': '1236306523476942848', 'name': 'Sameer Ashraf', 'screen_name': 'SamCharlie09', 'location': 'Ap k dil main ', 'description': ""High on memes|Pisces|CCJ'19|\nFMU'24|\nPakistani❤️"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 426, 'friends_count': 261, 'listed_count': 1, 'created_at': 'Sat Mar 07 15:03:52 +0000 2020', 'favourites_count': 9599, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2987, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1403806097190834176/Tt1kFBDG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1403806097190834176/Tt1kFBDG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1236306523476942848/1622365560', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;6;False;False
5;Thu Jul 29 20:20:07 +0000 2021;1420841590835318789;1420841590835318789;fmu me estressando logo na ultima semana de férias;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 800018822329679873, 'id_str': '800018822329679873', 'name': 'babi 🇧🇷', 'screen_name': 'babiszoca', 'location': '🇾🇪🏆', 'description': 'aqui meus divertidamente saem na mão', 'url': 'https://t.co/YeiD6bDAZ8', 'entities': {'url': {'urls': [{'url': 'https://t.co/YeiD6bDAZ8', 'expanded_url': 'https://youtu.be/ULfGQAkZHcs', 'display_url': 'youtu.be/ULfGQAkZHcs', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 392, 'friends_count': 433, 'listed_count': 1, 'created_at': 'Sat Nov 19 16:52:05 +0000 2016', 'favourites_count': 56594, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 23374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1411446105951420416/Kno7agWk_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1411446105951420416/Kno7agWk_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/800018822329679873/1626878751', 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Thu Jul 29 20:04:42 +0000 2021;1420837707522129926;1420837707522129926;cada mensagem que a fmu me envia eles aumentam a porcentagem da bolsa, vazou o desespero;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 875145076271443968, 'id_str': '875145076271443968', 'name': 'valéria', 'screen_name': 'vvferrari_', 'location': '', 'description': '18 anos e muito serelepe, tiktoker, atriz e musicista (ela/dela)', 'url': 'https://t.co/z9SG1NEfRY', 'entities': {'url': {'urls': [{'url': 'https://t.co/z9SG1NEfRY', 'expanded_url': 'https://instagram.com/vvferrari?igshid=1fzfnmdhzpgt4', 'display_url': 'instagram.com/vvferrari?igsh…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 178, 'friends_count': 267, 'listed_count': 0, 'created_at': 'Thu Jun 15 00:17:00 +0000 2017', 'favourites_count': 22164, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12178, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420198121137754114/Oe6QV3-e_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420198121137754114/Oe6QV3-e_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/875145076271443968/1627436593', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Thu Jul 29 20:00:23 +0000 2021;1420836623575572482;1420836623575572482;@TheKittleKat WE STAY WINNIN 💖💖💖;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheKittleKat', 'name': 'TheKittleKat', 'id': 878146130005159936, 'id_str': '878146130005159936', 'indices': [0, 13]}], 'urls': []};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4207923459818578e+18;1420792345981857793;8.7814613000516e+17;878146130005159936;TheKittleKat;{'id': 1319374233915609090, 'id_str': '1319374233915609090', 'name': 'Overthemoon5', 'screen_name': 'j_fmu', 'location': '', 'description': 'Mass Comm major, Graphic Design minor. Lover of Mirage/Apex Legends. \n“Have courage, and be kind 💖”\n22 y/o 🏳️\u200d🌈\nInsta: @lovehazardart', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 29, 'friends_count': 162, 'listed_count': 0, 'created_at': 'Thu Oct 22 20:25:14 +0000 2020', 'favourites_count': 57801, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1008, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1399599215412666368/PJDMeQSa_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1399599215412666368/PJDMeQSa_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Thu Jul 29 19:38:58 +0000 2021;1420831232049524742;1420831232049524742;Eu não desejo nem ao meu pior inimigo que estude na FMU, de verdade;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;"{'id': 1230976954846851072, 'id_str': '1230976954846851072', 'name': 'ʜᴇʀʙɪ́ᴠᴏʀᴀ', 'screen_name': 'Zetsssss', 'location': '', 'description': ""𝘐'𝘮 𝘢 𝘣𝘳𝘰𝘬𝘦𝘯 𝘳𝘰𝘴𝘦"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 30, 'friends_count': 277, 'listed_count': 0, 'created_at': 'Fri Feb 21 22:05:57 +0000 2020', 'favourites_count': 9761, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2762, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1391800636002426881/yCZfLopJ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1391800636002426881/yCZfLopJ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1230976954846851072/1625456530', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;1;False;False
9;Thu Jul 29 19:25:55 +0000 2021;1420827948794449927;1420827948794449927;@sualvescruz Ahahahaahaha, 🖐🏿 aluno FMU, temos mais um aqui. Kkkkkk....;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sualvescruz', 'name': 'Gossip Teacher 👩🏽\u200d🏫🎸🔴⚫️⚪️', 'id': 264273664, 'id_str': '264273664', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4208024681837404e+18;1420802468183740423;264273664.0;264273664;sualvescruz;{'id': 363715215, 'id_str': '363715215', 'name': 'Vantuil Miranda', 'screen_name': 'VantuilMiranda', 'location': 'São Paulo, Brasil', 'description': 'Niteroiense, morador de São Paulo, torcedor da Cruz de Malta e do azul e branco da Portela!!!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 246, 'friends_count': 1216, 'listed_count': 3, 'created_at': 'Sun Aug 28 15:30:55 +0000 2011', 'favourites_count': 4834, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 13918, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1271827156478439427/z1aWtVps_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1271827156478439427/z1aWtVps_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/363715215/1426886262', 'profile_link_color': '1A1B1F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
