;text
0;"Bolsonaro impõe sigilo de cem anos sobre acesso dos filhos ao Planalto

https://t.co/4DgkVwxkcn"
1;@folha Parabens bolsonaro, parabens brasil https://t.co/UI6En8HakQ
2;Bolsonaro deixa Congresso sem saída e faz Barroso chorar de cócoras! A L... https://t.co/ZNCMeJRQcD via @YouTube
3;"ONDE ESTAO OS CUS DO MEU FLEET????????
VOCÊ ME PROMETEU BOLSONARO DESGRAÇADO"
4;@PauloAraripeRJ @PATRlOTAS Eu estou sem opinião sobre o assunto. Quem irá contar os votos? E se acaso alguém por má… https://t.co/0a1fXvM0Ef
5;BOLSONARO FAÇA ALGUMA COISA
6;"@idyllswag juro q tô assim
tô nervosa??? que saco Bolsonaro vc prometeu"
7;me mijando com todo mundo perdido do app e as filhas do bolsonaro jurando que era blink tacando hate nos favs delas… https://t.co/K6CzSd7oUs
8;"@updatechartuc https://t.co/aR7qG6WSxU
ENTREM, VAMOS FALAR MAL DO BOLSONARO"
9;@BlogdoNoblat Vai dar BOLSONARO DE NOVO!!
10;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK bolsonaro vc me prometeu educação KKKKKKKKKKKK… https://t.co/wJcSDLrdkG
11;voinha é assim inclusive KKKK esses dias eu tava em call com uma amiga né aí o perfil dela é a foto da fav dela e o… https://t.co/ThgNzQpzLZ
12;"_____ _____ _____ _____ _____
    ← ⚪ misha collins                 ⠇                         
              ᴴᵃ ⁵ ᵐ… https://t.co/LyU3k55hK3"
13;@DouglasDrmaria @jairbolsonaro Bolsonaro estaria em cana se aquele episódio da Maria do Ossário fosse hoje. Isso aí… https://t.co/nEgJHDQ0mk
14;@em_com Por que vcs do EM não tocavam nesse assunto quando o PT exercia o comando do país? Estão, por acaso,  quere… https://t.co/2gQJ7R277b
15;@mironduds @opss_gab Querendo saber por que? Vc gosta do Bolsonaro eu sei
16;TAO DANDO ENCIMA DA MINHA MUIÉ BOLSONARO A CULPA É TUA
17;Os comentários das publicações da Faria Lima Elevator só tem homem burro defendendo o Bolsonaro. Pior ainda é que a… https://t.co/zQX9mLm1bl
18;@f_trad @f_trad hehe Bolsonaro colocou 100 anos pra não  ter ficar comendo Cu de  curioso!!
19;Vocês se acham azarados mas e eu que fiquei presa atrás de uma carreata pró Bolsonaro e a favor do voto impresso em… https://t.co/w6tNc9Vktb
