;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Mon Aug 02 03:23:42 +0000 2021;1422035352261378049;1422035352261378049;"Bolsonaro impõe sigilo de cem anos sobre acesso dos filhos ao Planalto

https://t.co/4DgkVwxkcn";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4DgkVwxkcn', 'expanded_url': 'https://noticiasnuestrarealidad.com/bolsonaro-impoe-sigilo-de-cem-anos-sobre-acesso-dos-filhos-ao-planalto/', 'display_url': 'noticiasnuestrarealidad.com/bolsonaro-impo…', 'indices': [72, 95]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 1333151760958058498, 'id_str': '1333151760958058498', 'name': 'Prensa Amambay', 'screen_name': 'prensaamambay', 'location': '', 'description': 'Instagram https://t.co/KdG6gauEpS\nWeb: https://t.co/LRqNP8pX5y', 'url': 'https://t.co/LkZ7Cspy1x', 'entities': {'url': {'urls': [{'url': 'https://t.co/LkZ7Cspy1x', 'expanded_url': 'https://www.noticiasnuestrarealidad.com', 'display_url': 'noticiasnuestrarealidad.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/KdG6gauEpS', 'expanded_url': 'https://www.instagram.com/noticiasnuestrarealidad/', 'display_url': 'instagram.com/noticiasnuestr…', 'indices': [10, 33]}, {'url': 'https://t.co/LRqNP8pX5y', 'expanded_url': 'http://noticiasnuestrarealidad.com', 'display_url': 'noticiasnuestrarealidad.com', 'indices': [39, 62]}]}}, 'protected': False, 'followers_count': 140, 'friends_count': 30, 'listed_count': 0, 'created_at': 'Sun Nov 29 20:52:18 +0000 2020', 'favourites_count': 29, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5267, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1333152032396619779/ynJzuKl9_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1333152032396619779/ynJzuKl9_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1333151760958058498/1613769806', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Mon Aug 02 03:23:40 +0000 2021;1422035343285567490;1422035343285567490;@folha Parabens bolsonaro, parabens brasil https://t.co/UI6En8HakQ;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'folha', 'name': 'Folha de S.Paulo', 'id': 14594813, 'id_str': '14594813', 'indices': [0, 6]}], 'urls': [{'url': 'https://t.co/UI6En8HakQ', 'expanded_url': 'https://youtu.be/Gb3paVrJ_L4', 'display_url': 'youtu.be/Gb3paVrJ_L4', 'indices': [43, 66]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4220348545947197e+18;1422034854594719755;14594813.0;14594813;folha;{'id': 1402285453139759104, 'id_str': '1402285453139759104', 'name': 'Cristiano Sampaio', 'screen_name': 'Cristia27760122', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 112, 'friends_count': 249, 'listed_count': 0, 'created_at': 'Tue Jun 08 15:26:18 +0000 2021', 'favourites_count': 941, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2876, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1402286185804881920/gtEDp0dx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1402286185804881920/gtEDp0dx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1402285453139759104/1623167145', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Mon Aug 02 03:23:28 +0000 2021;1422035294325460996;1422035294325460996;Bolsonaro deixa Congresso sem saída e faz Barroso chorar de cócoras! A L... https://t.co/ZNCMeJRQcD via @YouTube;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [104, 112]}], 'urls': [{'url': 'https://t.co/ZNCMeJRQcD', 'expanded_url': 'https://youtu.be/vJXHXYli-p0', 'display_url': 'youtu.be/vJXHXYli-p0', 'indices': [76, 99]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 1368540484596101121, 'id_str': '1368540484596101121', 'name': 'Belly', 'screen_name': 'Belly43409590', 'location': '', 'description': 'Truth', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 52, 'friends_count': 149, 'listed_count': 0, 'created_at': 'Sun Mar 07 12:34:38 +0000 2021', 'favourites_count': 8204, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 9086, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1368540878994890753/mknhVcOT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1368540878994890753/mknhVcOT_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Mon Aug 02 03:23:28 +0000 2021;1422035293377597440;1422035293377597440;"ONDE ESTAO OS CUS DO MEU FLEET????????
VOCÊ ME PROMETEU BOLSONARO DESGRAÇADO";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1036297542726832129, 'id_str': '1036297542726832129', 'name': 'Naveveko 🇧🇷', 'screen_name': 'Navevasko', 'location': '', 'description': 'O louco sempre tem razão', 'url': 'https://t.co/iVqIr58EyP', 'entities': {'url': {'urls': [{'url': 'https://t.co/iVqIr58EyP', 'expanded_url': 'http://www.clonacartao.com', 'display_url': 'clonacartao.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 38, 'friends_count': 226, 'listed_count': 0, 'created_at': 'Sun Sep 02 16:59:22 +0000 2018', 'favourites_count': 2928, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1190, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418626689467359237/fT1ikmaw_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418626689467359237/fT1ikmaw_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1036297542726832129/1627061936', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Mon Aug 02 03:23:18 +0000 2021;1422035250901929985;1422035250901929985;@PauloAraripeRJ @PATRlOTAS Eu estou sem opinião sobre o assunto. Quem irá contar os votos? E se acaso alguém por má… https://t.co/0a1fXvM0Ef;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PauloAraripeRJ', 'name': 'Paulo B de Araripe 🇧🇷', 'id': 99727218, 'id_str': '99727218', 'indices': [0, 15]}, {'screen_name': 'PATRlOTAS', 'name': 'Patriotas', 'id': 955586323452219393, 'id_str': '955586323452219393', 'indices': [16, 26]}], 'urls': [{'url': 'https://t.co/0a1fXvM0Ef', 'expanded_url': 'https://twitter.com/i/web/status/1422035250901929985', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4220305596273172e+18;1422030559627317249;99727218.0;99727218;PauloAraripeRJ;{'id': 4250302096, 'id_str': '4250302096', 'name': 'Welton Correia', 'screen_name': 'weltonanne', 'location': 'Cariacica, Brasil', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 141, 'friends_count': 535, 'listed_count': 0, 'created_at': 'Sun Nov 22 14:42:46 +0000 2015', 'favourites_count': 926, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 829, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1004935158389268481/VkZaMvf6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1004935158389268481/VkZaMvf6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4250302096/1528374117', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Mon Aug 02 03:23:18 +0000 2021;1422035248452362242;1422035248452362242;BOLSONARO FAÇA ALGUMA COISA;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 992486587496845313, 'id_str': '992486587496845313', 'name': 'elsa | tandara supremacy 🇧🇷', 'screen_name': 'lauriesebert', 'location': '', 'description': 'gattaz 🏐  \nbabi arenhart 🧤🥅', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4397, 'friends_count': 4356, 'listed_count': 19, 'created_at': 'Fri May 04 19:30:16 +0000 2018', 'favourites_count': 97175, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 53550, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417679528168669190/IcrSAzZv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417679528168669190/IcrSAzZv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/992486587496845313/1624829582', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
6;Mon Aug 02 03:23:05 +0000 2021;1422035196405243906;1422035196405243906;"@idyllswag juro q tô assim
tô nervosa??? que saco Bolsonaro vc prometeu";False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'idyllswag', 'name': '🇧🇷fe ⚢', 'id': 1179086459594268675, 'id_str': '1179086459594268675', 'indices': [0, 10]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4220347102183956e+18;1422034710218395649;1.1790864595942687e+18;1179086459594268675;idyllswag;"{'id': 1267146047903629314, 'id_str': '1267146047903629314', 'name': 'duda&isa conta de namoradas✭ || 39 dias', 'screen_name': 'luvswilmon', 'location': ""pitica's club       "", 'description': 'eu e o omar fofocando da vida alheia    (a/ela/-a) \nmultifandom', 'url': 'https://t.co/LXAm23Tw8N', 'entities': {'url': {'urls': [{'url': 'https://t.co/LXAm23Tw8N', 'expanded_url': 'http://rbd.xn--c6h', 'display_url': 'rbd.♡', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3608, 'friends_count': 3979, 'listed_count': 28, 'created_at': 'Sun May 31 17:29:11 +0000 2020', 'favourites_count': 13332, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 18386, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420407956365971457/hDZSfbMv_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420407956365971457/hDZSfbMv_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1267146047903629314/1627475228', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
7;Mon Aug 02 03:23:05 +0000 2021;1422035195344064514;1422035195344064514;me mijando com todo mundo perdido do app e as filhas do bolsonaro jurando que era blink tacando hate nos favs delas… https://t.co/K6CzSd7oUs;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/K6CzSd7oUs', 'expanded_url': 'https://twitter.com/i/web/status/1422035195344064514', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1024749787936120838, 'id_str': '1024749787936120838', 'name': 'mon', 'screen_name': 'fallslalisa', 'location': 'only blackpink', 'description': '', 'url': 'https://t.co/OTl2fGM3Xd', 'entities': {'url': {'urls': [{'url': 'https://t.co/OTl2fGM3Xd', 'expanded_url': 'https://curiouscat.qa/fallslalisa', 'display_url': 'curiouscat.qa/fallslalisa', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8805, 'friends_count': 4388, 'listed_count': 28, 'created_at': 'Wed Aug 01 20:12:43 +0000 2018', 'favourites_count': 3659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12087, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1411182502073544704/LCul8_HI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1411182502073544704/LCul8_HI_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1024749787936120838/1624937283', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;1;6;False;False
8;Mon Aug 02 03:23:01 +0000 2021;1422035179066040321;1422035179066040321;"@updatechartuc https://t.co/aR7qG6WSxU
ENTREM, VAMOS FALAR MAL DO BOLSONARO";False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'updatechartuc', 'name': 'UpdateChart', 'id': 582230335, 'id_str': '582230335', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/aR7qG6WSxU', 'expanded_url': 'https://chat.whatsapp.com/L48cCGo46gn3fQ2yFJM5kI', 'display_url': 'chat.whatsapp.com/L48cCGo46gn3fQ…', 'indices': [15, 38]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4220349705713132e+18;1422034970571313154;582230335.0;582230335;updatechartuc;"{'id': 1365111832118251521, 'id_str': '1365111832118251521', 'name': 'erick. 🇧🇷', 'screen_name': '_ericksantana2', 'location': '', 'description': ""stranger things• \nmarilia mendonca•\ngrey's anatomy• \nouter banks 💛"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 297, 'friends_count': 374, 'listed_count': 0, 'created_at': 'Fri Feb 26 01:30:11 +0000 2021', 'favourites_count': 5589, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1808, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421655701668208642/Lz7J61pA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421655701668208642/Lz7J61pA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1365111832118251521/1627777969', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
9;Mon Aug 02 03:22:56 +0000 2021;1422035160086847495;1422035160086847495;@BlogdoNoblat Vai dar BOLSONARO DE NOVO!!;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BlogdoNoblat', 'name': 'Blog do Noblat', 'id': 16794066, 'id_str': '16794066', 'indices': [0, 13]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4220322381919846e+18;1422032238191984640;16794066.0;16794066;BlogdoNoblat;{'id': 963558220274028544, 'id_str': '963558220274028544', 'name': 'Antonio', 'screen_name': 'dracpl12', 'location': 'Rio de Janeiro, Brasil', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 189, 'friends_count': 505, 'listed_count': 1, 'created_at': 'Tue Feb 13 23:39:16 +0000 2018', 'favourites_count': 16708, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2501, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1266771211901702144/vB5P2VPd_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1266771211901702144/vB5P2VPd_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
