;text
0;Aí tô vendo muita gente reclamando da FMU medo de ir pra lá e ser mais uma
1;fmu cobrando 1.085,00 de rematrícula vai tomar no cu kkkkkkkkkkk só rindo mesmo
2;fmu putona desorganizada ta me tirando do sério faculdade de merda deixa eu me formar em paz desgraçada
3;acho que vou passar raiva com a fmu esse mês, tô sentindo
4;Site bugado esse do fmu, q krlh
5;Pior coisa q eu fiz foi baixar o app lá q a maya mandou. E usar o filtro de faculdade...sério só tem mulher bonita na fmu eu fico TRISTE...
6;Dois dias, estamos a exatos 2 dias do retorno às aulas, e a dona @fmuoficial, ainda não liberou a grade horária. Fi… https://t.co/htY9j7NiKJ
7;@casrainbowings Tenta levar ele em um hospital universitário, é bem mais barato, tem o da fmu, eles salvaram a vida do meu cachorro lá
8;fmu você me paga por tudo odeio tanto vocês
9;Meu deus pq o site da fmu tem q ser tão lixo
10;vou ter aula com a rosani de novo por deus fmu me mate agora
11;odeio a fmu que maldita n vai voltar aula presencial
12;quando minhas aulas voltarem eu vou xingar tanto a coordenação da fmu tanto
13;pelo amor de deus fmu e prouni faz logo minha matricula quero ser universitaria dnv
14;@taeminsour A fmu eu sei q é boa! Mas é foda msm eles só querem USP fgv puc e Mackenzie
15;@waaaaaaaane Ei fiiah, vou bem aí cantar FMU pra ti
16;@F_Does_ Então amigo, o foda é que assim eu sei que devo a faculdade sabe,e a FMU é um cu em relação a qqlqr coisa… https://t.co/2QN0SLbovM
17;Você que está aí buscando uma universidade para realizar a sua graduação, ou sua pós, NÃO VÁ PARA A FMU! @fmuoficial
18;@brunabaldoino A FMU ainda não falou nd?
19;Todo dia eu perguntando se alguma alma nesse site vai estudar na FMU da liberdade pra gente amigar
20;@CalmaGado @Deth45648994 @DaniloGentili E n preciso lidar com nenhum fracasso pq estou exatamente onde eu qria esta… https://t.co/vaYqaPKhUS
21;Pelo jeito ninguém que passou na fmu pelo prouni recebeu uma resposta concreta,não tô sozinha.
22;obrigado por nada fmu https://t.co/og5prpFWV4
23;Eu na Fmu 😜🤡 https://t.co/VQJUROENSV
24;@beahelen_ Ai, amg, vai dar certo. A FMU nos faz surtar todos os dias, mas logo enviam. O surto do aluno, é meio qu… https://t.co/3c5FHWfFah
25;FMU, obrigado pelo ódio diário.
26;As aulas só voltam na terça, mas a dona FMU, me faz passar raiva sem pausas, desde 2019.1!
27;@maduardwa simmm,eu fiz matrícula no começo do mês na unip com desconto pq não sabia se iria passar no prouni,as au… https://t.co/kivRxAcSZA
28;fmu confirma minha documentação logooo, eu só quero botar “Biomedicina 🧬” na minha bio do insta
29;o Zé Roberto já foi na fmu mas fiquei com vergonha de pedir pra tirar foto c ele
30;@maduardwa @byz_nanda @ticiazzx aí gente já fiquei sabendo de uma pessoa que eles enviaram resposta 🤡 fmu pq q cê me odeia????????
