;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Wed Jul 28 00:20:22 +0000 2021;1420177273987141633;1420177273987141633;Samsung Galaxy A20 Receiving Android 11-Based One UI 3.1 Update in India: Report - Gadget Informer @… https://t.co/ziE0VZzJ59;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ziE0VZzJ59', 'expanded_url': 'https://twitter.com/i/web/status/1420177273987141633', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""https://newsverses.com/"" rel=""nofollow"">NewsVerses</a>";;;;;;{'id': 1183264020708515840, 'id_str': '1183264020708515840', 'name': 'NewsVerses', 'screen_name': 'NewsVerses', 'location': '', 'description': 'NewsVerses brings you the latest news from around the world, covering breaking news in markets, business, politics, entertainment, technology', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 50, 'friends_count': 0, 'listed_count': 3, 'created_at': 'Sun Oct 13 06:11:50 +0000 2019', 'favourites_count': 1, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 209931, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1258064388906381312/6a6sOy-I_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1258064388906381312/6a6sOy-I_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1183264020708515840/1586002460', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Tue Jul 27 23:14:33 +0000 2021;1420160710395498496;1420160710395498496;Yosou Cable USB Tipo C,2Pack[1M+2M] 3A Cargador Tipo C Nylon Carga Rápida Cable USB C para Samsung Galaxy S10 S9 S8… https://t.co/ekDAmmm8wS;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ekDAmmm8wS', 'expanded_url': 'https://twitter.com/i/web/status/1420160710395498496', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";;;;;;{'id': 1251493696740229122, 'id_str': '1251493696740229122', 'name': 'TecniAsistencia.es', 'screen_name': 'soportelecos', 'location': 'Vilanova i la Geltrú', 'description': 'Los mejores precios en... Informática y Telecomunicaciones\n#Ofertas y #Chollos Amazon', 'url': 'https://t.co/ULu2LYwuGP', 'entities': {'url': {'urls': [{'url': 'https://t.co/ULu2LYwuGP', 'expanded_url': 'https://www.tecniasistencia.es', 'display_url': 'tecniasistencia.es', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 379, 'friends_count': 368, 'listed_count': 4, 'created_at': 'Sat Apr 18 12:52:11 +0000 2020', 'favourites_count': 4004, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 37694, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1393660962335600651/Yv2p3Hud_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1393660962335600651/Yv2p3Hud_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1251493696740229122/1587214684', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Tue Jul 27 22:42:57 +0000 2021;1420152760574545920;1420152760574545920;Firmware: A205FXXUACUF3_A205FOJMACUF7_XFV (Android 11) https://t.co/EQkyCXGyC7;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EQkyCXGyC7', 'expanded_url': 'https://www.sammobile.com/firmwares/galaxy-a20/SM-A205F/XFV/download/A205FXXUACUF3/1564523', 'display_url': 'sammobile.com/firmwares/gala…', 'indices': [55, 78]}]};{'iso_language_code': 'cs', 'result_type': 'recent'};"<a href=""http://www.sammobile.com"" rel=""nofollow"">FirmwarePoster</a>";;;;;;{'id': 89913536, 'id_str': '89913536', 'name': 'SamFirmware', 'screen_name': 'SamFirmware', 'location': 'The Netherlands', 'description': 'Official Twitter account of http://t.co/JvXQhAkNxP \r\n(Powered by http://t.co/SErtvLbV19)', 'url': 'http://t.co/SErtvLbV19', 'entities': {'url': {'urls': [{'url': 'http://t.co/SErtvLbV19', 'expanded_url': 'http://www.SamMobile.com', 'display_url': 'SamMobile.com', 'indices': [0, 22]}]}, 'description': {'urls': [{'url': 'http://t.co/JvXQhAkNxP', 'expanded_url': 'http://www.SamFirmware.com', 'display_url': 'SamFirmware.com', 'indices': [28, 50]}, {'url': 'http://t.co/SErtvLbV19', 'expanded_url': 'http://www.SamMobile.com', 'display_url': 'SamMobile.com', 'indices': [65, 87]}]}}, 'protected': False, 'followers_count': 34632, 'friends_count': 1, 'listed_count': 925, 'created_at': 'Sat Nov 14 10:36:16 +0000 2009', 'favourites_count': 2, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 357269, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F8F8F8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1172063363792351232/doy_iPZX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1172063363792351232/doy_iPZX_normal.jpg', 'profile_link_color': '00A9E0', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '0F0F0F', 'profile_text_color': 'B0B0B0', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
3;Tue Jul 27 22:19:32 +0000 2021;1420146866520526849;1420146866520526849;@SpotifyCares Samsung Galaxy A20 Android 10 version 8.6.40.929;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [0, 13]}], 'urls': []};{'iso_language_code': 'de', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.420139584244134e+18;1420139584244133888;497340309.0;497340309;SpotifyCares;{'id': 1063053353834504193, 'id_str': '1063053353834504193', 'name': 'Will', 'screen_name': 'DJ_HAWTDAWG', 'location': 'Raleigh, NC', 'description': 'Just a friendly guy who loves to play video games. I also love @Marvel and Cars! I have #Autism! #LetsGoCanes LETS GO @WAKETECHESPORTS', 'url': 'https://t.co/LdZ69hJJRU', 'entities': {'url': {'urls': [{'url': 'https://t.co/LdZ69hJJRU', 'expanded_url': 'http://twitch.tv/dj_hawtdawg', 'display_url': 'twitch.tv/dj_hawtdawg', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 112, 'friends_count': 2995, 'listed_count': 1, 'created_at': 'Thu Nov 15 12:57:24 +0000 2018', 'favourites_count': 1987, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 3510, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419797254181957634/D-sWT4rX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419797254181957634/D-sWT4rX_normal.jpg', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Tue Jul 27 21:57:08 +0000 2021;1420141229505974273;1420141229505974273;"@Ikoni_Mikatsu Deberías revisar en youtube a ver si te sale algo, es decir escribe algo tipo ""no puedo descargar ib… https://t.co/PZPK9HOeHN";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ikoni_Mikatsu', 'name': '°☆🍞 Ikoni 🍞 ☆° ✨¡Emergency Comms Open!✨', 'id': 1260006566499176448, 'id_str': '1260006566499176448', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/PZPK9HOeHN', 'expanded_url': 'https://twitter.com/i/web/status/1420141229505974273', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'es', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4201409602357862e+18;1420140960235786241;1.2600065664991764e+18;1260006566499176448;Ikoni_Mikatsu;{'id': 1367971383070851074, 'id_str': '1367971383070851074', 'name': '✨nati✨', 'screen_name': 'nataliahb_011', 'location': 'DFI si no vas a interactuar ª', 'description': 'Alguien normal que da su opinión y también hace dibujos 🌟🌻\n15 años | Venezolana 🇻🇪 \nMe gustan los conejos 🐰\n✨Pfp por: @BelnHer87437828✨', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 139, 'friends_count': 235, 'listed_count': 2, 'created_at': 'Fri Mar 05 22:53:14 +0000 2021', 'favourites_count': 20366, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6919, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1415703606804766720/8HYs8qFa_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1415703606804766720/8HYs8qFa_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1367971383070851074/1627418711', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
5;Tue Jul 27 21:02:57 +0000 2021;1420127594121334786;1420127594121334786;@nsfwspo Samsung a20;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nsfwspo', 'name': 'winter', 'id': 1394916895686492161, 'id_str': '1394916895686492161', 'indices': [0, 8]}], 'urls': []};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4198282769990656e+18;1419828276999065600;1.3949168956864922e+18;1394916895686492161;nsfwspo;{'id': 1236851260919353345, 'id_str': '1236851260919353345', 'name': 'lxvelyache⁷', 'screen_name': 'sophiecarpio', 'location': '', 'description': 'no clue what to write', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 9, 'friends_count': 104, 'listed_count': 0, 'created_at': 'Mon Mar 09 03:08:26 +0000 2020', 'favourites_count': 4026, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 82, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418040776236339202/0HQBgj9t_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418040776236339202/0HQBgj9t_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1236851260919353345/1626922566', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Tue Jul 27 20:46:45 +0000 2021;1420123516201062401;1420123516201062401;16 kill in solo match PUBG MOBILE #SNAX SAMSUNG A20,A30,A40,A50,A60,A70,... https://t.co/T8fLWlIJvs via @YouTube;False;{'hashtags': [{'text': 'SNAX', 'indices': [34, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [104, 112]}], 'urls': [{'url': 'https://t.co/T8fLWlIJvs', 'expanded_url': 'https://youtu.be/9UG0aIiVcNE', 'display_url': 'youtu.be/9UG0aIiVcNE', 'indices': [76, 99]}]};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";;;;;;{'id': 1414295535834468352, 'id_str': '1414295535834468352', 'name': 'paper boy op', 'screen_name': 'piper70996292', 'location': 'Kolkata, India', 'description': 'Gaming', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1, 'friends_count': 12, 'listed_count': 0, 'created_at': 'Sun Jul 11 18:49:02 +0000 2021', 'favourites_count': 3, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 9, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1414295752944209923/9ZT9hQmx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1414295752944209923/9ZT9hQmx_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Tue Jul 27 20:20:08 +0000 2021;1420116818128097288;1420116818128097288;"NOOB TO PRO JOURNEY LVL 100 ⚡ ⚡para SAMSUNG A3,A5,A6,A7,J2,J5,J7,S5,S6,S7,S9,A10,A20,A30,A50,A70
.
この記事はプロフのリンクから読むことができます。&amp;hellip";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'ja', 'result_type': 'recent'};"<a href=""http://lesson-school.com/"" rel=""nofollow"">wp for twitter app6</a>";;;;;;{'id': 786883139838758912, 'id_str': '786883139838758912', 'name': 'はじめとまなぶ2', 'screen_name': 'MHS618', 'location': '', 'description': '記事リンクはこちらから\nhttps://t.co/KdXEsaiWOv\n\nネット副業を自動化したい人のオリジナルWordPressプラグイン販売中\nhttps://t.co/stLOyWRgK8\n作業の75％は自動化できる！', 'url': 'https://t.co/bUB9NgWNrH', 'entities': {'url': {'urls': [{'url': 'https://t.co/bUB9NgWNrH', 'expanded_url': 'https://note.com/asuraworks/n/nf109ec75decb', 'display_url': 'note.com/asuraworks/n/n…', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/KdXEsaiWOv', 'expanded_url': 'https://twitter.com/MHS98877812', 'display_url': 'twitter.com/MHS98877812', 'indices': [12, 35]}, {'url': 'https://t.co/stLOyWRgK8', 'expanded_url': 'https://coconala.com/services/772705', 'display_url': 'coconala.com/services/772705', 'indices': [74, 97]}]}}, 'protected': False, 'followers_count': 375, 'friends_count': 380, 'listed_count': 3, 'created_at': 'Fri Oct 14 10:55:35 +0000 2016', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 427197, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1299163934990020608/2SRIYPyc_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1299163934990020608/2SRIYPyc_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/786883139838758912/1598579794', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Tue Jul 27 19:31:31 +0000 2021;1420104581611094017;1420104581611094017;Samsung Galaxy A20 Receiving Android 11-Based One UI 3.1 Update in India: Report - Gadget Informer @… https://t.co/xZtsjsUPZ0;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xZtsjsUPZ0', 'expanded_url': 'https://twitter.com/i/web/status/1420104581611094017', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""https://newsverses.com/"" rel=""nofollow"">NewsVerses</a>";;;;;;{'id': 1183264020708515840, 'id_str': '1183264020708515840', 'name': 'NewsVerses', 'screen_name': 'NewsVerses', 'location': '', 'description': 'NewsVerses brings you the latest news from around the world, covering breaking news in markets, business, politics, entertainment, technology', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 50, 'friends_count': 0, 'listed_count': 3, 'created_at': 'Sun Oct 13 06:11:50 +0000 2019', 'favourites_count': 1, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 209931, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1258064388906381312/6a6sOy-I_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1258064388906381312/6a6sOy-I_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1183264020708515840/1586002460', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Tue Jul 27 19:09:20 +0000 2021;1420098999739113476;1420098999739113476;"@NobRezaryu @MangetsuTsunoda Samsung A20

Mas serio agr,quando eu n tinha essa cell quando eu tinha um antigasso,eu… https://t.co/VJkIp5x5la";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NobRezaryu', 'name': 'NobrezaRyu!^w^', 'id': 1345154574697590792, 'id_str': '1345154574697590792', 'indices': [0, 11]}, {'screen_name': 'MangetsuTsunoda', 'name': '☾', 'id': 1294058043387387904, 'id_str': '1294058043387387904', 'indices': [12, 28]}], 'urls': [{'url': 'https://t.co/VJkIp5x5la', 'expanded_url': 'https://twitter.com/i/web/status/1420098999739113476', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4200983608165704e+18;1420098360816570371;1.3451545746975908e+18;1345154574697590792;NobRezaryu;{'id': 1366150333664292865, 'id_str': '1366150333664292865', 'name': 'mister knight', 'screen_name': 'knight_eu_ai', 'location': '🇧🇷', 'description': 'ele || gamer 🎮 || criador de memes || GT:knight #5225🟢 ||', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 377, 'friends_count': 1741, 'listed_count': 2, 'created_at': 'Sun Feb 28 22:16:50 +0000 2021', 'favourites_count': 23713, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 15669, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419128785061007360/dFwJaBDG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419128785061007360/dFwJaBDG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1366150333664292865/1624034180', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
