;text
0;Bolsonaro tem medo de duas coisas que não existem: ameaça comunista e terceira via eleitoral. https://t.co/tVAUFXNZBo
1;@edumilsonpapo10 Bolsonaro sempre foi corrupto,este papo de anticorrupção,foi um teatro e que funcionou,mas agora t… https://t.co/TbG4cnDyHz
2;@filipesabino9x2 @JogadoresGalo @resistalvinegra Eu? Velho… nem sei quem é essa… nunca fez nada nem na terra dela,… https://t.co/zm04H1A1NZ
3;bolsonaro 🗣 https://t.co/SQttUa3lpR
4;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/YEAi7SWWwU"
5;@LulaOficial Meu Deus que vergonha!! Quem tiver memória não vota em vc é muito menos no Bolsonaro.  Lula na boa vc… https://t.co/u53ZYn7Qnk
6;Eu criei uma paranóia dentro da minha mente que as olimpíadas favorecem o Bolsonaro de arquitetar o golpe de estado… https://t.co/PCqSlT5lUF
7;@brasil247 Como pode falar tanta asneira e nao  acontecer nada com esse verme Carlos Bolsonaro.
8;Axl votaria no Bolsonaro
9;🇧🇷 Au Brésil, des prêtres de Fortaleza intimidés par des sympathisants de Jair Bolsonaro https://t.co/9GlMiKDQd8 #bresil #brasil #brazil
10;"@fernandapsol É #FAKE que Bolsonaro disse em vídeo que teria se alistado ao exército de Hitler | Fato ou Fake | G1
https://t.co/pmMZwnDYXt"
11;"Segue o jogo

https://t.co/6lAdKDgJTU https://t.co/HRm5ksPmCP"
12;Esquerdistas em 2022 depois da reeleição de bolsonaro kkkkkk https://t.co/IXcbAWNymV
13;O corpo da mulher, os direitos reprodutivos e o governo Bolsonaro https://t.co/iJnT7RGBGy via @opartisano_org
14;"@Eliorocha5 @rafael_itj @GrasielaTidra Como se a justiça fosse super eficaz no Brasil né filho?
Vamos ver.
Ciro acu… https://t.co/kR6Kbvw8WH"
15;@SigaGazetaBR Na cabeça desse ladrão, Bolsonaro deveria re-lançar o mensalão, como esse Verme fez... mas já que pos… https://t.co/OQzy9BR49k
16;@Lucas_KabelloML @FernandoHoliday Sim, por isso mesmo, que a gente vai tacar pedra em Luís Inácio Lula da Silva a p… https://t.co/QAfSTWBGYU
