;text
0;"Judo
Natação
Futsal
Krav Magá

Atualmente pulo corda

Quero boxe https://t.co/VPwU67PqHi"
1;Ginástica, ballet, vôlei, natação (até competia nesse msm sendo uma ameba) futebol (até hoje) tênis de mesa, boxe,… https://t.co/mxN1hAotIJ
2;Queria fazer um boxe pra descontar minha raiva.
3;Curiosidade do boxe: como são dadas duas medalhas de bronze nessa modalidade (como no judô), o Wanderson, que está… https://t.co/49pGl4ioB2
4;@jotamarquesrj Futsal, handball, vôlei, jiu jitsu, boxe. Hoje: corrida e musculação.
5;@eboli_pedro Um dos grandes nomes do boxe brasileiro se chamava Maguila inclusive. Totalmente colonizados pela HB
6;"⏰ 05h e 52min
🤸‍♀️ Ginástica Artística
👩 Rebeca Andrade
📋 Salto - Vale #Ouro
📺 Globo, SporTV 2 e BandSports

⏰ 06h… https://t.co/RPGbmjkKHB"
7;"@msliperr Cuba 2 x 0 Brasil no boxe*

Abner tbm vai pegar cubano nas semis"
8;@juliette Boxe parece ótimo, tô cogitando fazer. Imagina que maravilha descontar a raiva num saco de pancada 😍
9;"Natação 
Futebol
Futebol americano 
Muay Thai
Kickboxing
Boxe
Musculação 
Basquete
Karatê https://t.co/FaCeTyjCdc"
10;"@pdrlixo NO BOXE:
CUBA 1x0 BRASIL

NA TECNOLOGIA:
CUBA 0x10 BRASIL

NA SAÚDE:
CUBA 0x10 BRASIL

NA SEGURANÇA:
CUBA… https://t.co/oiSqbTKvBR"
11;Trabalho sério e o boxe olímpico brasileiro tá aí pra mostrar. Sou pai de atletas e sei muito bem como o planejamen… https://t.co/995ztcV4Bi
12;"3. Abner Teixeira (Boxe - bronze garantido e com chance de ouro e prata)
4. Herbert Sousa, Wanderson de Oliveira e… https://t.co/vpaYymF9em"
13;🥊 Boxe: Wanderson, brasileiro da categoria peso-leve, passa pelas oitavas e vai pegar o cubano Andy Cruz no começo… https://t.co/kyoq6kUzkT
14;"e digo mais 
[31/07/2021 14:26:38] gabi tenente : imagina meter a porrada em rafaela com luva de boxe
 [31/07/2021… https://t.co/nphwEgVa7h"
15;2H de boxe hoje no frio  TOTALMENTE NORMAL
16;"[31/07/2021 14:19:41] Rafaela: vcs podem me comer na porrada
 [31/07/2021 14:19:51] yanka lopes: e eu vou
 [31/07/2… https://t.co/5C75iAGHxf"
17;Karate natação vôlei futsal (odiava) capoeira Muay Thai boxe https://t.co/lFu2n5JniR
18;Essa madrugada tem boxe, vôlei de praia, luta olímpica, vôlei com a seleção masculina, final de natação e muito mai… https://t.co/CLXDbP6DpO
19;"@jotamarquesrj -Natação 6-14 / 18-21
-Balé 6-8 (odiava)
-Capoeira 8-10
-Volei 10-11
-Basquete 12-14
-Boxe 15-17 / 2… https://t.co/3yK1HJFmvp"
