;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Sat Jul 31 17:40:54 +0000 2021;1421526296690036738;1421526296690036738;"Judo
Natação
Futsal
Krav Magá

Atualmente pulo corda

Quero boxe https://t.co/VPwU67PqHi";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VPwU67PqHi', 'expanded_url': 'https://twitter.com/jotamarquesrj/status/1421305304550187010', 'display_url': 'twitter.com/jotamarquesrj/…', 'indices': [65, 88]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;"{'id': 122059981, 'id_str': '122059981', 'name': 'Dom!ngos, vacinado e de PFF2', 'screen_name': 'domprongs', 'location': 'RJ', 'description': ""• sorry, I don't know what I do here. I'm just scared of the future\n• faço umas artes meio foda-se"", 'url': 'https://t.co/06D7f7NfUX', 'entities': {'url': {'urls': [{'url': 'https://t.co/06D7f7NfUX', 'expanded_url': 'https://www.behance.net/domingosmath', 'display_url': 'behance.net/domingosmath', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 688, 'friends_count': 521, 'listed_count': 5, 'created_at': 'Thu Mar 11 13:18:20 +0000 2010', 'favourites_count': 80483, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 96989, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421489194459934721/XY5S1Z8L_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421489194459934721/XY5S1Z8L_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/122059981/1619035831', 'profile_link_color': '610B21', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;True;0;0;False;False
1;Sat Jul 31 17:38:08 +0000 2021;1421525599454220294;1421525599454220294;Ginástica, ballet, vôlei, natação (até competia nesse msm sendo uma ameba) futebol (até hoje) tênis de mesa, boxe,… https://t.co/mxN1hAotIJ;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mxN1hAotIJ', 'expanded_url': 'https://twitter.com/i/web/status/1421525599454220294', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 3252810377, 'id_str': '3252810377', 'name': 'Duds Melo', 'screen_name': 'dudovysk', 'location': 'ao lado do sol, PE', 'description': 'zzzzzzz\n\n\n\n\nMy profile on Letterbox https://t.co/rU1Xp8q6Vp', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/rU1Xp8q6Vp', 'expanded_url': 'https://letterboxd.com/Dudovysk', 'display_url': 'letterboxd.com/Dudovysk', 'indices': [36, 59]}]}}, 'protected': False, 'followers_count': 211, 'friends_count': 281, 'listed_count': 0, 'created_at': 'Wed May 13 22:22:35 +0000 2015', 'favourites_count': 27688, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 27340, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1360313305408102400/u1JakFH9_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1360313305408102400/u1JakFH9_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3252810377/1625167909', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
2;Sat Jul 31 17:37:54 +0000 2021;1421525542675881987;1421525542675881987;Queria fazer um boxe pra descontar minha raiva.;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 219681264, 'id_str': '219681264', 'name': 'o Brasil tá lascado', 'screen_name': 'DwnFrd21', 'location': 'Brasil', 'description': 'o homem é um projeto de si mesmo.                \ncronista crônico.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 167, 'friends_count': 78, 'listed_count': 1, 'created_at': 'Thu Nov 25 15:24:37 +0000 2010', 'favourites_count': 106026, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 50789, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '11D9B8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1146520528297103360/8MCTiq4I_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1146520528297103360/8MCTiq4I_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/219681264/1451943076', 'profile_link_color': 'B33900', 'profile_sidebar_border_color': '5EB5E0', 'profile_sidebar_fill_color': 'F0C882', 'profile_text_color': '2EE687', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Sat Jul 31 17:37:54 +0000 2021;1421525541258203137;1421525541258203137;Curiosidade do boxe: como são dadas duas medalhas de bronze nessa modalidade (como no judô), o Wanderson, que está… https://t.co/49pGl4ioB2;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/49pGl4ioB2', 'expanded_url': 'https://twitter.com/i/web/status/1421525541258203137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 47098742, 'id_str': '47098742', 'name': 'juva olímpica 🥇🇧🇷', 'screen_name': 'giovanagmrs', 'location': 'Manaus, Brasil', 'description': 'xi jão falando sozinho', 'url': 'https://t.co/wr5J24l2sa', 'entities': {'url': {'urls': [{'url': 'https://t.co/wr5J24l2sa', 'expanded_url': 'http://goodreads.com/giovanagmrs', 'display_url': 'goodreads.com/giovanagmrs', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 622, 'friends_count': 872, 'listed_count': 15, 'created_at': 'Sun Jun 14 14:20:35 +0000 2009', 'favourites_count': 141437, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 89987, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418899614644817925/s0AgvbZ7_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418899614644817925/s0AgvbZ7_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/47098742/1565669041', 'profile_link_color': 'E7CE7A', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '851414', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
4;Sat Jul 31 17:36:51 +0000 2021;1421525276798951424;1421525276798951424;@jotamarquesrj Futsal, handball, vôlei, jiu jitsu, boxe. Hoje: corrida e musculação.;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jotamarquesrj', 'name': 'JOTA MARQUES', 'id': 1183518978720894979, 'id_str': '1183518978720894979', 'indices': [0, 14]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.421305304550187e+18;1421305304550187010;1.183518978720895e+18;1183518978720894979;jotamarquesrj;{'id': 4869006737, 'id_str': '4869006737', 'name': 'douglas', 'screen_name': 'douglas_taranto', 'location': 'Clube de Regatas do Flamengo', 'description': 'hoje tem gol do gabigol', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 419, 'friends_count': 323, 'listed_count': 0, 'created_at': 'Mon Feb 01 12:07:11 +0000 2016', 'favourites_count': 65912, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 27106, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1378703199515910149/Z7KPjEUA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1378703199515910149/Z7KPjEUA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4869006737/1617543736', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Sat Jul 31 17:35:17 +0000 2021;1421524882052063233;1421524882052063233;@eboli_pedro Um dos grandes nomes do boxe brasileiro se chamava Maguila inclusive. Totalmente colonizados pela HB;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eboli_pedro', 'name': 'Pedro Eboli / BLM!', 'id': 713117576612724736, 'id_str': '713117576612724736', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215148456402207e+18;1421514845640220672;7.131175766127247e+17;713117576612724736;eboli_pedro;{'id': 16866835, 'id_str': '16866835', 'name': 'Rafa Rosa', 'screen_name': 'Rafa_Rosa', 'location': 'São Paulo -SP', 'description': 'Animador, storyboarder, cartunista, ilustrador. Trabalhando atualmente na Birdo Studios. ele/dele', 'url': 'https://t.co/hddPzv45cr', 'entities': {'url': {'urls': [{'url': 'https://t.co/hddPzv45cr', 'expanded_url': 'https://about.me/rafa_rosa', 'display_url': 'about.me/rafa_rosa', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1720, 'friends_count': 841, 'listed_count': 51, 'created_at': 'Mon Oct 20 13:13:59 +0000 2008', 'favourites_count': 5000, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 10530, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFD754', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1324521462233997313/eotshPCn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1324521462233997313/eotshPCn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/16866835/1590790620', 'profile_link_color': 'FF9900', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'FFD754', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
6;Sat Jul 31 17:33:16 +0000 2021;1421524376801906688;1421524376801906688;"⏰ 05h e 52min
🤸‍♀️ Ginástica Artística
👩 Rebeca Andrade
📋 Salto - Vale #Ouro
📺 Globo, SporTV 2 e BandSports

⏰ 06h… https://t.co/RPGbmjkKHB";True;{'hashtags': [{'text': 'Ouro', 'indices': [71, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RPGbmjkKHB', 'expanded_url': 'https://twitter.com/i/web/status/1421524376801906688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215243735806935e+18;1421524373580693506;1.3439006952510587e+18;1343900695251058688;PoEsportivo;{'id': 1343900695251058688, 'id_str': '1343900695251058688', 'name': '𝐏𝐨𝐧𝐭𝐨 𝐄𝐬𝐩𝐨𝐫𝐭𝐢𝐯𝐨 (🏅)', 'screen_name': 'PoEsportivo', 'location': '', 'description': '𝐍𝐁𝐀 🏀 | 𝐍𝐅𝐋 🏈 | 𝐍𝐇𝐋 🏒 | 𝐅𝟏 🏁 | 𝐌𝐋𝐁 ⚾️ | 𝐋𝐍𝐅 ⚽️ 𝐞 𝐦𝐮𝐢𝐭𝐨 𝐦𝐚𝐢𝐬!!!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 982, 'friends_count': 238, 'listed_count': 2, 'created_at': 'Tue Dec 29 12:44:40 +0000 2020', 'favourites_count': 33975, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 14548, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1372602660310896644/_jwd68tJ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1372602660310896644/_jwd68tJ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1343900695251058688/1616088881', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
7;Sat Jul 31 17:31:13 +0000 2021;1421523861187743750;1421523861187743750;"@msliperr Cuba 2 x 0 Brasil no boxe*

Abner tbm vai pegar cubano nas semis";False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msliperr', 'name': 'felipe 🇧🇷', 'id': 1008145122175913984, 'id_str': '1008145122175913984', 'indices': [0, 9]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215232376667054e+18;1421523237666705409;1.008145122175914e+18;1008145122175913984;msliperr;{'id': 747176908966760448, 'id_str': '747176908966760448', 'name': 'ItaloFerreirafag', 'screen_name': 'pdrlixo', 'location': 'Kinderheim 511', 'description': 'Sigam a @SakoToshioArt 😊', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 774, 'friends_count': 466, 'listed_count': 8, 'created_at': 'Sun Jun 26 21:17:11 +0000 2016', 'favourites_count': 111168, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 101801, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1414053279408005124/R8hb0Bo1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1414053279408005124/R8hb0Bo1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747176908966760448/1622212860', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Sat Jul 31 17:29:44 +0000 2021;1421523486552600578;1421523486552600578;@juliette Boxe parece ótimo, tô cogitando fazer. Imagina que maravilha descontar a raiva num saco de pancada 😍;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [0, 9]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215200550372024e+18;1421520055037202436;1.351188841558913e+18;1351188841558913025;juliette;{'id': 3933327982, 'id_str': '3933327982', 'name': 'Beatriz Carvalho', 'screen_name': 'Bia_Lovegood', 'location': 'Pelotas, RS, Brasil', 'description': '🍫🐱🌵💤♑️', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 221, 'friends_count': 258, 'listed_count': 0, 'created_at': 'Mon Oct 12 02:46:38 +0000 2015', 'favourites_count': 37072, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 36617, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DBE9ED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1406874255573327873/qtcvl61H_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1406874255573327873/qtcvl61H_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3933327982/1609553992', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Sat Jul 31 17:28:51 +0000 2021;1421523263092572166;1421523263092572166;"Natação 
Futebol
Futebol americano 
Muay Thai
Kickboxing
Boxe
Musculação 
Basquete
Karatê https://t.co/FaCeTyjCdc";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FaCeTyjCdc', 'expanded_url': 'https://twitter.com/jotamarquesrj/status/1421305304550187010', 'display_url': 'twitter.com/jotamarquesrj/…', 'indices': [90, 113]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 751468161522921477, 'id_str': '751468161522921477', 'name': 'Movido por forças alienígenas.☘', 'screen_name': 'ClaudemirFerrer', 'location': 'Fortaleza, Brasil', 'description': 'Apreciador do espetaculoso maravilho suco da confusão.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 43, 'friends_count': 560, 'listed_count': 0, 'created_at': 'Fri Jul 08 17:29:06 +0000 2016', 'favourites_count': 554, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1958, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1411345602391298058/vdoeMicJ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1411345602391298058/vdoeMicJ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/751468161522921477/1560918691', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
