;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Sat Jul 31 17:18:46 +0000 2021;1421520728726331393;1421520728726331393;@juliette KAJDJDKAKAKAKA JULIETTE MULHER TU GOSTA DE UNS B.O NÉ, MAS ENFIM CHAMA A FADINHA PRA TE ENSINAR A ANDAR D… https://t.co/fmsuoxHtDF;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/fmsuoxHtDF', 'expanded_url': 'https://twitter.com/i/web/status/1421520728726331393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215200550372024e+18;1421520055037202436;1.351188841558913e+18;1351188841558913025;juliette;"{'id': 1200544417343520773, 'id_str': '1200544417343520773', 'name': 'liv! 🇧🇷', 'screen_name': 'charmstans', 'location': '𝒂𝒓𝒊𝒂𝒏𝒂!', 'description': ""★彡and cry because I'm happy...\n@actmariage °•`\n(𝖾𝗅𝖺/𝖽𝖾𝗅𝖺) 🌿"", 'url': 'https://t.co/en3WyN3z2P', 'entities': {'url': {'urls': [{'url': 'https://t.co/en3WyN3z2P', 'expanded_url': 'https://youtu.be/XVbrzSmOMq4', 'display_url': 'youtu.be/XVbrzSmOMq4', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 106, 'friends_count': 132, 'listed_count': 0, 'created_at': 'Fri Nov 29 22:38:56 +0000 2019', 'favourites_count': 5615, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1029, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419437443405828096/FbqSOSgj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419437443405828096/FbqSOSgj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1200544417343520773/1627255232', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
1;Sat Jul 31 17:01:40 +0000 2021;1421516421738205186;1421516421738205186;"Na centauro e já vi um monte de crianças e pais/mães atrás de um skate, incluindo minha irmã 
Tá feliz fadinha??? Pq eu tô";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1134143458640351234, 'id_str': '1134143458640351234', 'name': 'isa adora vacina e olimpíadas', 'screen_name': 'isadoraffreire', 'location': '', 'description': 'formada em cursinho.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 52, 'friends_count': 104, 'listed_count': 0, 'created_at': 'Thu May 30 17:04:06 +0000 2019', 'favourites_count': 24892, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1275, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1399554984216346625/UqlMfpXX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1399554984216346625/UqlMfpXX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1134143458640351234/1565903862', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Sat Jul 31 16:46:25 +0000 2021;1421512583811534851;1421512583811534851;indo andar skate completamente influenciada pela fadinha e a bufoni, volto mais tarde con 3 ossos quebrados 😝;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 120794117, 'id_str': '120794117', 'name': 'fefe 🇧🇷', 'screen_name': 'fefesapphic', 'location': 'beach city', 'description': 'desesperada com o útero suplicante', 'url': 'https://t.co/d8GpGaHyZt', 'entities': {'url': {'urls': [{'url': 'https://t.co/d8GpGaHyZt', 'expanded_url': 'http://allybrooke.com', 'display_url': 'allybrooke.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3430, 'friends_count': 472, 'listed_count': 96, 'created_at': 'Sun Mar 07 15:32:28 +0000 2010', 'favourites_count': 182575, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 199639, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419361539828506627/GnQ_udWv_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419361539828506627/GnQ_udWv_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/120794117/1626646154', 'profile_link_color': 'F58EA8', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '0F0F0F', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'regular', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Sat Jul 31 16:45:28 +0000 2021;1421512346544005126;1421512346544005126;Gostei de um vídeo no YouTube: Rayssa Leal - prata no Street em Tóquio (coletiva do COB) https://t.co/YOGhBGZ7Iz… https://t.co/kGSvuhrM2D;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YOGhBGZ7Iz', 'expanded_url': 'https://www.youtube.com/watch?v=OtfdCM5oEoQ', 'display_url': 'youtube.com/watch?v=OtfdCM…', 'indices': [89, 112]}, {'url': 'https://t.co/kGSvuhrM2D', 'expanded_url': 'https://twitter.com/i/web/status/1421512346544005126', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";;;;;;{'id': 9421362, 'id_str': '9421362', 'name': 'Paulinho Basalces 🏴\u200d☠️ #antifa', 'screen_name': 'basalces', 'location': '404 Not Found', 'description': 'Muitas ideias, alguns negócios e muito café...\nOlha mãe https://t.co/KprneVmd1S', 'url': 'https://t.co/LAXYAhlxbS', 'entities': {'url': {'urls': [{'url': 'https://t.co/LAXYAhlxbS', 'expanded_url': 'https://card.digital/basalces/', 'display_url': 'card.digital/basalces/', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/KprneVmd1S', 'expanded_url': 'https://amzn.to/3g9nyPV', 'display_url': 'amzn.to/3g9nyPV', 'indices': [56, 79]}]}}, 'protected': False, 'followers_count': 559, 'friends_count': 112, 'listed_count': 15, 'created_at': 'Sat Oct 13 13:51:25 +0000 2007', 'favourites_count': 1789, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 13120, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1321836207668666369/Qpsb_QnR_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1321836207668666369/Qpsb_QnR_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/9421362/1591758110', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '7AC3EE', 'profile_text_color': '3D1957', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'regular', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Sat Jul 31 16:41:07 +0000 2021;1421511253852409857;1421511253852409857;vou dar um skate pra essa menina ja temos nossa proxima fadinha https://t.co/mhw5EdfX5t;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1421510836502384642, 'id_str': '1421510836502384642', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1421510836502384642/pu/img/nPl5s10xkVqXje5-.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1421510836502384642/pu/img/nPl5s10xkVqXje5-.jpg', 'url': 'https://t.co/mhw5EdfX5t', 'display_url': 'pic.twitter.com/mhw5EdfX5t', 'expanded_url': 'https://twitter.com/sugasbun/status/1421511253852409857/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;"{'id': 869210058739077120, 'id_str': '869210058739077120', 'name': ""yoongi's real s/o"", 'screen_name': 'sugasbun', 'location': 'any pronouns ', 'description': ""this is a jungkook only event if you're not jungkook please leave"", 'url': 'https://t.co/AUCo5noX19', 'entities': {'url': {'urls': [{'url': 'https://t.co/AUCo5noX19', 'expanded_url': 'https://sugasbun.carrd.co/', 'display_url': 'sugasbun.carrd.co', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 147, 'friends_count': 185, 'listed_count': 4, 'created_at': 'Mon May 29 15:13:21 +0000 2017', 'favourites_count': 52762, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 52256, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1416830788537049090/mxmWn_JB_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1416830788537049090/mxmWn_JB_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/869210058739077120/1626633759', 'profile_link_color': '7FDBB6', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;4;False;False
5;Sat Jul 31 16:40:47 +0000 2021;1421511168401846278;1421511168401846278;O Band Esporte Clube mostrou que a medalha de prata da Rayssa Leal, a nossa fadinha, inspirou novas crianças para e… https://t.co/HHIzLKdqrF;True;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HHIzLKdqrF', 'expanded_url': 'https://twitter.com/i/web/status/1421511168401846278', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://grabyo.com"" rel=""nofollow"">Grabyo</a>";;;;;;{'id': 91642831, 'id_str': '91642831', 'name': 'Band Esporte Clube', 'screen_name': 'bandesporteclub', 'location': 'São Paulo', 'description': 'Perfil oficial do Band Esporte Clube. \nTodo sábado, com @crisdiass, na tela da @bandtv .', 'url': 'https://t.co/mbPJuz28sf', 'entities': {'url': {'urls': [{'url': 'https://t.co/mbPJuz28sf', 'expanded_url': 'https://www.band.uol.com.br/esportes', 'display_url': 'band.uol.com.br/esportes', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 38252, 'friends_count': 47, 'listed_count': 304, 'created_at': 'Sat Nov 21 20:04:28 +0000 2009', 'favourites_count': 56, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2053, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1164231763360661506/CzMSjT1O_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1164231763360661506/CzMSjT1O_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/91642831/1619640938', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'F2E943', 'profile_text_color': '61320E', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Sat Jul 31 16:28:38 +0000 2021;1421508109525299205;1421508109525299205;@Freirejuli_ Imperatriz-Maranhao a cidade da fadinha do skate, rayssa;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Freirejuli_', 'name': 'Kamilla 🌵☀️🌠', 'id': 1385353830309711872, 'id_str': '1385353830309711872', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.421504636360532e+18;1421504636360531976;1.385353830309712e+18;1385353830309711872;Freirejuli_;{'id': 1376838431637143554, 'id_str': '1376838431637143554', 'name': 'Kalinne.lima🌵🌵', 'screen_name': 'Kalinneaazevedo', 'location': 'Imperatriz, Brasil', 'description': 'advogada e psicanalista\namo Cactos', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 650, 'friends_count': 2084, 'listed_count': 0, 'created_at': 'Tue Mar 30 10:07:28 +0000 2021', 'favourites_count': 12968, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4397, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1395573668542099456/97fyrWIl_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1395573668542099456/97fyrWIl_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1376838431637143554/1621566799', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;3;False;False
7;Sat Jul 31 16:09:34 +0000 2021;1421503312571076612;1421503312571076612;parabens fadinha agora eu quero andar d skate;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1244676980324343808, 'id_str': '1244676980324343808', 'name': 'Geovanna', 'screen_name': 'godisgeh', 'location': 'Brasília, Brasil', 'description': 'All is better with a bit of drama.', 'url': 'https://t.co/v5vN2wMHKq', 'entities': {'url': {'urls': [{'url': 'https://t.co/v5vN2wMHKq', 'expanded_url': 'https://instagram.com/geovannaceia?utm_medium=copy_link', 'display_url': 'instagram.com/geovannaceia?u…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 116, 'friends_count': 153, 'listed_count': 1, 'created_at': 'Mon Mar 30 17:25:16 +0000 2020', 'favourites_count': 30018, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 8678, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1340311228397346818/5LJ98-Ae_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1340311228397346818/5LJ98-Ae_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1244676980324343808/1608390073', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Sat Jul 31 15:51:50 +0000 2021;1421498850536271872;1421498850536271872;"@arbindobardo Fausto Macedo: (4 min) ‘Fadinha do Skate’: quem tem direito ao nome? https://t.co/3g9bKHNvNe &lt;&lt;-- lin… https://t.co/8C2FczvKVu";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'arbindobardo', 'name': 'Leandro Lopes', 'id': 745371160297123840, 'id_str': '745371160297123840', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/3g9bKHNvNe', 'expanded_url': 'http://outline.com/https://politica.estadao.com.br/blogs/fausto-macedo/fadinha-do-skate-quem-tem-direito-ao-nome/?utm_source=twitter:newsfeed&utm_medium=social-organic&utm_campaign=redes-sociais:072021:e&utm_content=:::&utm_term=', 'display_url': 'outline.com/https://politi…', 'indices': [83, 106]}, {'url': 'https://t.co/8C2FczvKVu', 'expanded_url': 'https://twitter.com/i/web/status/1421498850536271872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [123, 146]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">XeuleBot V2</a>";1.421498825827623e+18;1421498825827622916;7.453711602971238e+17;745371160297123840;arbindobardo;"{'id': 1251625471659425792, 'id_str': '1251625471659425792', 'name': 'Xeulê', 'screen_name': 'XeuleBot', 'location': '', 'description': ""Leia sem distrações e sem consumir muitos dados.\nMe envie a mensagem 'xeule' como resposta a um Tweet e eu te envio uma versão do texto no https://t.co/pSbETv6J"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 35682, 'friends_count': 43, 'listed_count': 154, 'created_at': 'Sat Apr 18 21:35:50 +0000 2020', 'favourites_count': 32, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 109192, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1279774608393154561/8nfAWKTE_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1279774608393154561/8nfAWKTE_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
9;Sat Jul 31 15:50:00 +0000 2021;1421498386839179268;1421498386839179268;Natascha Barão: quem tem direito ao nome 'Fadinha do Skate'? https://t.co/0MqolTDJ0S;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0MqolTDJ0S', 'expanded_url': 'https://bit.ly/3rKsErq', 'display_url': 'bit.ly/3rKsErq', 'indices': [61, 84]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";;;;;;{'id': 9317502, 'id_str': '9317502', 'name': 'Estadão', 'screen_name': 'Estadao', 'location': 'São Paulo', 'description': 'A versão online do jornal O Estado de S. Paulo. Acompanhe também as atualizações pelo Facebook: https://t.co/lk7LrlF9vV', 'url': 'https://t.co/81yLl1VOb5', 'entities': {'url': {'urls': [{'url': 'https://t.co/81yLl1VOb5', 'expanded_url': 'http://www.estadao.com.br', 'display_url': 'estadao.com.br', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/lk7LrlF9vV', 'expanded_url': 'http://fb.com/estadao', 'display_url': 'fb.com/estadao', 'indices': [96, 119]}]}}, 'protected': False, 'followers_count': 7062277, 'friends_count': 352, 'listed_count': 12932, 'created_at': 'Mon Oct 08 22:08:22 +0000 2007', 'favourites_count': 326, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 427074, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': 'EDECE9', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1297827081791905795/H4qtFpQ-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1297827081791905795/H4qtFpQ-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/9317502/1627606645', 'profile_link_color': '336699', 'profile_sidebar_border_color': 'D3D2CF', 'profile_sidebar_fill_color': 'E3E2DE', 'profile_text_color': '634047', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;2;28;False;False
