;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Sat Jul 31 17:24:56 +0000 2021;1421522279897477123;1421522279897477123;@finaisinesp Rayssa fadinha contagiando a sociedade;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'finaisinesp', 'name': 'finais inesperados', 'id': 1208513122924990466, 'id_str': '1208513122924990466', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215149494955581e+18;1421514949495558148;1.2085131229249905e+18;1208513122924990466;finaisinesp;{'id': 1202237950110638080, 'id_str': '1202237950110638080', 'name': '*Fe*', 'screen_name': 'feshow_verde', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 10, 'friends_count': 65, 'listed_count': 0, 'created_at': 'Wed Dec 04 14:47:32 +0000 2019', 'favourites_count': 3384, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3704, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1202238775566520322/k2NqjTP9_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1202238775566520322/k2NqjTP9_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1202237950110638080/1596856398', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Sat Jul 31 17:24:52 +0000 2021;1421522259936694279;1421522259936694279;será que existe uma fadinha c pé 34? 🥲 tenho uma melissa NOVA p dar!!;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 977394679678423040, 'id_str': '977394679678423040', 'name': 'Eduarda ✨', 'screen_name': 'Eduarda_vj', 'location': 'Guaíba, Brasil', 'description': '•Responsa, fé e dedicação pra viver sorrindo.', 'url': 'https://t.co/pBQgQcEDk8', 'entities': {'url': {'urls': [{'url': 'https://t.co/pBQgQcEDk8', 'expanded_url': 'http://instagram.com/Eduarda_vj', 'display_url': 'instagram.com/Eduarda_vj', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 468, 'friends_count': 362, 'listed_count': 0, 'created_at': 'Sat Mar 24 04:00:25 +0000 2018', 'favourites_count': 6737, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 5475, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421222685577723912/2xKdlD-3_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421222685577723912/2xKdlD-3_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Sat Jul 31 17:23:01 +0000 2021;1421521798219407360;1421521798219407360;vou chorar pq roupa de fadinha eh tao caroooooooooooooo;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 1183879635077095424, 'id_str': '1183879635077095424', 'name': 'bi 🍄', 'screen_name': 'bib0os', 'location': '', 'description': '🎸\n\nqualquer pronome', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 106, 'friends_count': 258, 'listed_count': 1, 'created_at': 'Mon Oct 14 22:58:03 +0000 2019', 'favourites_count': 9925, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2343, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1404897096692600833/IunXknsw_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1404897096692600833/IunXknsw_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1183879635077095424/1620349057', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Sat Jul 31 17:20:24 +0000 2021;1421521137750745089;1421521137750745089;@lucas15dias @Igorsmf2 @rangerlol1 @acero_linha q coisa linda, trazer a hostilidade da torcida do futebol pra um ti… https://t.co/YQquxbVnRr;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lucas15dias', 'name': 'Lucas', 'id': 845787123093528577, 'id_str': '845787123093528577', 'indices': [0, 12]}, {'screen_name': 'Igorsmf2', 'name': 'Igorsmf', 'id': 1272300991107534848, 'id_str': '1272300991107534848', 'indices': [13, 22]}, {'screen_name': 'rangerlol1', 'name': 'Filipe Brombilla', 'id': 4740863841, 'id_str': '4740863841', 'indices': [23, 34]}, {'screen_name': 'acero_linha', 'name': 'acerolinha', 'id': 1150799800482390017, 'id_str': '1150799800482390017', 'indices': [35, 47]}], 'urls': [{'url': 'https://t.co/YQquxbVnRr', 'expanded_url': 'https://twitter.com/i/web/status/1421521137750745089', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.421518563035259e+18;1421518563035258880;8.457871230935286e+17;845787123093528577;lucas15dias;{'id': 3124002035, 'id_str': '3124002035', 'name': 'Future Nostalgia', 'screen_name': 'Nico_Skyr', 'location': '', 'description': 'E quando menos esperar, Clareou!!!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 71, 'friends_count': 631, 'listed_count': 0, 'created_at': 'Sat Mar 28 14:56:25 +0000 2015', 'favourites_count': 37633, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2430, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1277459163937988611/O4c85FjI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1277459163937988611/O4c85FjI_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3124002035/1625967337', 'profile_link_color': 'FFCC4D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Sat Jul 31 17:18:46 +0000 2021;1421520728726331393;1421520728726331393;@juliette KAJDJDKAKAKAKA JULIETTE MULHER TU GOSTA DE UNS B.O NÉ, MAS ENFIM CHAMA A FADINHA PRA TE ENSINAR A ANDAR D… https://t.co/fmsuoxHtDF;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/fmsuoxHtDF', 'expanded_url': 'https://twitter.com/i/web/status/1421520728726331393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215200550372024e+18;1421520055037202436;1.351188841558913e+18;1351188841558913025;juliette;"{'id': 1200544417343520773, 'id_str': '1200544417343520773', 'name': 'liv! 🇧🇷', 'screen_name': 'charmstans', 'location': '𝒂𝒓𝒊𝒂𝒏𝒂!', 'description': ""★彡and cry because I'm happy...\n@actmariage °•`\n(𝖾𝗅𝖺/𝖽𝖾𝗅𝖺) 🌿"", 'url': 'https://t.co/en3WyN3z2P', 'entities': {'url': {'urls': [{'url': 'https://t.co/en3WyN3z2P', 'expanded_url': 'https://youtu.be/XVbrzSmOMq4', 'display_url': 'youtu.be/XVbrzSmOMq4', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 106, 'friends_count': 132, 'listed_count': 0, 'created_at': 'Fri Nov 29 22:38:56 +0000 2019', 'favourites_count': 5613, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1029, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419437443405828096/FbqSOSgj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419437443405828096/FbqSOSgj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1200544417343520773/1627255232', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
5;Sat Jul 31 17:18:30 +0000 2021;1421520659432230919;1421520659432230919;@fadinha_21 Gostosa 😋;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fadinha_21', 'name': 'SA 🧚\u200d♀️', 'id': 1390298572315402241, 'id_str': '1390298572315402241', 'indices': [0, 11]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4211219200496845e+18;1421121920049684482;1.3902985723154022e+18;1390298572315402241;fadinha_21;{'id': 1160979676053069825, 'id_str': '1160979676053069825', 'name': 'pätrïčk', 'screen_name': 'branquinho022', 'location': 'Rio de Janeiro, Brasil', 'description': 'Final Feliz ✌️', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 75, 'friends_count': 302, 'listed_count': 0, 'created_at': 'Mon Aug 12 18:21:39 +0000 2019', 'favourites_count': 488, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 223, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1306808059336044548/2J7h2KzQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1306808059336044548/2J7h2KzQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1160979676053069825/1600402298', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Sat Jul 31 17:18:06 +0000 2021;1421520558202687493;1421520558202687493;Cheguei no fundo do poço tô jogando de fadinha;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 801940239606484994, 'id_str': '801940239606484994', 'name': 'Ja1', 'screen_name': 'joao_marcos08', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8, 'friends_count': 19, 'listed_count': 0, 'created_at': 'Fri Nov 25 00:07:07 +0000 2016', 'favourites_count': 103, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 253, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418305783943634947/7hYKRB5p_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418305783943634947/7hYKRB5p_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Sat Jul 31 17:17:05 +0000 2021;1421520302031396870;1421520302031396870;lançar uma homenagem dessas pra fadinha https://t.co/pV421OsYe9;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1421520299531685893, 'id_str': '1421520299531685893', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/media/E7pBLk6X0AUnon6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E7pBLk6X0AUnon6.jpg', 'url': 'https://t.co/pV421OsYe9', 'display_url': 'pic.twitter.com/pV421OsYe9', 'expanded_url': 'https://twitter.com/milascurious/status/1421520302031396870/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 619, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 619, 'resize': 'fit'}, 'small': {'w': 680, 'h': 585, 'resize': 'fit'}}}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 730874382311116804, 'id_str': '730874382311116804', 'name': 'madu', 'screen_name': 'milascurious', 'location': '', 'description': 'eu sempre deixo, o que é meu volta', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2018, 'friends_count': 782, 'listed_count': 15, 'created_at': 'Thu May 12 21:36:46 +0000 2016', 'favourites_count': 27107, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 47599, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420881481350762501/uIFpOJ4T_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420881481350762501/uIFpOJ4T_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/730874382311116804/1627597775', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Sat Jul 31 17:12:26 +0000 2021;1421519132437225484;1421519132437225484;@AndreS_cwb Efeito Fadinha;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AndreS_cwb', 'name': 'Dedé', 'id': 2339478931, 'id_str': '2339478931', 'indices': [0, 11]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215121777317396e+18;1421512177731739650;2339478931.0;2339478931;AndreS_cwb;{'id': 1254878566896013313, 'id_str': '1254878566896013313', 'name': 'LUCY', 'screen_name': 'luci_blood_dark', 'location': 'Curitiba,Brazil', 'description': 'Oi :)', 'url': 'https://t.co/t46ndQ3coS', 'entities': {'url': {'urls': [{'url': 'https://t.co/t46ndQ3coS', 'expanded_url': 'https://www.instagram.com/luci_blood_dark/', 'display_url': 'instagram.com/luci_blood_dar…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13, 'friends_count': 99, 'listed_count': 0, 'created_at': 'Mon Apr 27 21:02:39 +0000 2020', 'favourites_count': 3642, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 461, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1296299334393384960/5dYdVYxD_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1296299334393384960/5dYdVYxD_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1254878566896013313/1593459837', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
9;Sat Jul 31 17:12:21 +0000 2021;1421519111906021376;1421519111906021376;@meunomehglau nossa próxima fadinha;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'meunomehglau', 'name': 'gal', 'id': 1025534295669198848, 'id_str': '1025534295669198848', 'indices': [0, 13]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215142334355456e+18;1421514233435545601;1.0255342956691988e+18;1025534295669198848;meunomehglau;{'id': 1205982666560065537, 'id_str': '1205982666560065537', 'name': 'Daire - VAI BRASIL 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷', 'screen_name': 'Cansadah3', 'location': 'PATRIOTA OLÍMPICO', 'description': 'UM BRASILEIRO QUE AMA SEU PAÍS 🇧🇷🇧🇷🇧🇷', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 86, 'friends_count': 65, 'listed_count': 0, 'created_at': 'Sat Dec 14 22:47:39 +0000 2019', 'favourites_count': 49518, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 33327, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419681239590531072/IM_qNKXw_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419681239590531072/IM_qNKXw_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1205982666560065537/1627313457', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
