;text
0;"Parece que o Arremesso Tricolor deu sorte para o futebol do São Paulo hoje, hein. 

⚽ Rigoni / Stephen Curry 🏀
⚽ Pa… https://t.co/E7cEep8NNG"
1;@nathanv2224 @_sccpnews Tem que saber diferenciar quando está atrapalhando e quando está ajudando. Só faz atrapalha… https://t.co/RRmtTvTeNa
2;@felipreto_c @chenriqx @011diego_ @Marcosph2030 @nadjasuyanee @futebol_info Fora que o De Paul joga na La Liga enqu… https://t.co/ampCXbDcCk
3;@edarkrek2 @futebol_info @CopadoBrasil Pq suja mano? Pode me explicar ou mostrar algum lance injusto? Tô numa boa p… https://t.co/JFr72RbSnR
4;os pia jogando futebol na neve mais são uns djanho
5;@futebol_info 2 sem história...
6;saudades quando meu flamengao era pobre pois me identifico mais com os pobres. me sinto um jesus do futebol
7;@LeoBatista_13 @Tiago07867265 @bat_gol7 @futebol_info agora pega os títulos do cara da Europa e dos fracassados da Europa
8;@SaoPauloFC como eu estava dizendo pablo é o jogador de mais alto nível no futebol mundial atualmente, ele já ultra… https://t.co/rqwHCW6JKI
9;futebol? desculpe amigo estou lendo um bom livro
10;"@SantosOpressivo @SantosFC o que estão esperando rival ir atrás do jogador Ignácio?? 

Indico também este jogador 👇… https://t.co/ytWNYpTdWg"
11;"@_ysminn_ Jogo fei da porra, não sei oq é pior 

O futebol do são Paulo ou do vasco"
12;Tá tendo brasileiro no bmx e 2 dos 4 canais do sportv tão passando FUTEBOL ao invés de passar bmx
13;camisa de basquete consegue ser mais bonita do que de futebol
14;@dandansportv Tá dando futebol
15;@Botafogo Vamo fortalecer o trabalho do cara pagando um salário que permita que ele se dedique integralmente ao rem… https://t.co/xJwPdXDn8B
16;São Paulo vence Vasco por 2 a 0 no Morumbi e abre vantagem nas oitavas da Copa do Brasil https://t.co/VFHHyZj1d1 https://t.co/0nKV4Z3GdM
17;18:52 da tarde , mais de duas horas antes do jogo , falei pro meu irmão @Rafacorsini que o Pablo ia guarda um de ca… https://t.co/ZuSCVJmjKU
18;Hyoran o pior batedor de falta do futebol
19;@wesmaadcity Na globo agr tá passando futebol amg, ctz que qnd acabar começa o hand https://t.co/KNalAR698V
20;"@PokeKlausGo @Netotxsccp E o futebol também, é o pior deles. Por isso desses eu cobro resultados.
Tinham obrigação… https://t.co/6WGCnvvOQ4"
21;Ronaldinho, Adriano, Ronaldo. Melhor jogo de futebol de todos os tempos
22;Por que não camisa verde na seleção brasileira de futebol?
23;@Jan_CRF @upasiu @futebol_info fisicamente mais abaixo, mano. Ele melhorou mt a parte física e o ER, por mais que e… https://t.co/G2QOxnNWH1
24;"Perdemos sim, mas a evolução no futebol é visível, muito melhor perder mostrando potencial do que ganhar na cagada

https://t.co/AwtwpZZQnR"
25;quero dar pra você na grade de algum campo de futebol, lá em cima mesmo, sou de ressaquinha — eu vo tranca meu perf… https://t.co/6T06q5HjZU
26;Não vejo a hora das Olimpíadas acabar pro tuitero voltar a falar só de futebol e largar mão de falar tanta merda so… https://t.co/QdFkKf71vH
