;text
0;"@Fabiopf08Fabio Um cara que faz um power point dos quinto da mentira tinha vergonha ? 
Viva a @mauramontella , vai… https://t.co/1KZ2PqGC8C"
1;@OGloboPolitica @jairbolsonaro ENQUANTO ISSO, O LULA SÓ NO DIÁLOGO COM A EUROPA. https://t.co/0e99J8S77B
2;@Ezequiel_alv1 Se tem uma coisa que o Lesa Pátria Lula se equiparou ao ditador Stálin,foi ter criado junto com Fide… https://t.co/ejXTeFAXo5
3;"@CNNBrasil Datena você não tem chance alguma de ganhar para presidente. 
Lula e Bolsonaro já estão no 2° turnoseha… https://t.co/ycBtQYzhXY"
4;@elisaraujo2010 @observotariopig O pavor do  🤡 é Lula ser seu adversário, os outros concorrentes ele comeria com fa… https://t.co/YOWXR71Z1r
5;"@carloscezarcjr @GeracaodeValor @AriSanSouza População que elegeu Dilma e Lula. Kkkķkkk
Fácil essa.
Brasileiro, que… https://t.co/8mPciCuGxa"
6;@DeputadoFederal Muita, muita podridão! Quando Lula assumir em 2023, revoga esses atos espúrios e o povo vai conhec… https://t.co/uSuSDNY0d9
7;O STF inocentou lula,tornou lula elegível,como na política brasileira,nada e feito de graça,quanto não deve ter sido o valor da fatura,
8;@veramariams Barroso e Lula são comparsas
9;@Thayna_lmf kkkkk acho melhor esse ciro procurar outras formas de tentar ganhar uma eleição, só atacar o lula n vai dar n kkkkk
10;"Impresso e Auditável! Só que confia no Instituto Lula é o PT e o PSDB! 

https://t.co/PPDyo5dnlc"
11;Não tenho uma camisa vermelha do pt/lula gente que espécie de petista da desgraça eu sou???
12;@toniohvski @o_antagonista Quem tenta comprar imprensa é o bozo, vide sikeira jr, entre outros, disse que ia acabar… https://t.co/vgXmdSD5rq
13;eu tô falando, o Lula tem foto pra absolutamente qualquer coisa https://t.co/5iGS9iPttt
14;@Estadao @EstadaoPolitica Enquanto isso, três Chefes de Estado (Portugal, Angola e Cabo Verde) estão visitando o Br… https://t.co/X4SGYmywcG
15;@flavio_raimundo @jdoriajr Essa galera que você defende, como Lula, já falou tanto mal do nordestino, das mulheres,… https://t.co/03cVWi3ujh
16;"@LeandroG1914 Bom dia Lêêê......😘🥰🏋️⛹️🤾

Bom dia vermelhindos, em ritmo de olimpíadas Lula vence todos, atenção ao… https://t.co/08sFYoTj2B"
17;@fernandobarros Cara, fala de esquerda, de progressismo, de social democracia, fale de Ideologia, so nao associem i… https://t.co/TD70ZBfI0a
18;"Datena você não tem chance alguma de ganhar para presidente. 
Lula e Bolsonaro já estão no 2° turnoseha esperto nào… https://t.co/QU7f16NKib"
19;Reinauguração do @MuseudaLingua contou com presidentes de Portugal e Cabo Verde. E Lula. Já o presidente do Brasil… https://t.co/oR5gy9v0TG
