;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Sat Jul 31 17:14:18 +0000 2021;1421519601888858115;1421519601888858115;"@Fabiopf08Fabio Um cara que faz um power point dos quinto da mentira tinha vergonha ? 
Viva a @mauramontella , vai… https://t.co/1KZ2PqGC8C";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fabiopf08Fabio', 'name': 'fabio paiva fagundes', 'id': 972608916348645377, 'id_str': '972608916348645377', 'indices': [0, 15]}, {'screen_name': 'mauramontella', 'name': 'Maura Montella', 'id': 85601666, 'id_str': '85601666', 'indices': [94, 108]}], 'urls': [{'url': 'https://t.co/1KZ2PqGC8C', 'expanded_url': 'https://twitter.com/i/web/status/1421519601888858115', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215172901604065e+18;1421517290160406535;9.726089163486454e+17;972608916348645377;Fabiopf08Fabio;{'id': 1420745731590131719, 'id_str': '1420745731590131719', 'name': 'Trabalhadores UNI-VOS', 'screen_name': 'lula_vos', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 384, 'friends_count': 359, 'listed_count': 0, 'created_at': 'Thu Jul 29 13:59:58 +0000 2021', 'favourites_count': 954, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 369, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420746655851171858/71m9gDvU_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420746655851171858/71m9gDvU_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1420745731590131719/1627568380', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Sat Jul 31 17:14:17 +0000 2021;1421519596675342337;1421519596675342337;@OGloboPolitica @jairbolsonaro ENQUANTO ISSO, O LULA SÓ NO DIÁLOGO COM A EUROPA. https://t.co/0e99J8S77B;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OGloboPolitica', 'name': 'O Globo Brasil', 'id': 156719729, 'id_str': '156719729', 'indices': [0, 15]}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': 128372940, 'id_str': '128372940', 'indices': [16, 30]}], 'urls': [], 'media': [{'id': 1421519590631387142, 'id_str': '1421519590631387142', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/E7pAiUDXsAYdr3q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E7pAiUDXsAYdr3q.jpg', 'url': 'https://t.co/0e99J8S77B', 'display_url': 'pic.twitter.com/0e99J8S77B', 'expanded_url': 'https://twitter.com/lucasjdanobrega/status/1421519596675342337/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1077, 'h': 1093, 'resize': 'fit'}, 'small': {'w': 670, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1077, 'h': 1093, 'resize': 'fit'}}}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.421487307002159e+18;1421487307002159106;156719729.0;156719729;OGloboPolitica;{'id': 2960288877, 'id_str': '2960288877', 'name': 'LUCAS PODOLSKI', 'screen_name': 'lucasjdanobrega', 'location': '', 'description': 'Natureza', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 48, 'friends_count': 257, 'listed_count': 0, 'created_at': 'Sun Jan 04 14:58:35 +0000 2015', 'favourites_count': 6836, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3429, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1364327630879793152/W6DoI5_W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1364327630879793152/W6DoI5_W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2960288877/1627138994', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Sat Jul 31 17:14:12 +0000 2021;1421519577461231622;1421519577461231622;@Ezequiel_alv1 Se tem uma coisa que o Lesa Pátria Lula se equiparou ao ditador Stálin,foi ter criado junto com Fide… https://t.co/ejXTeFAXo5;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ezequiel_alv1', 'name': 'Ezequiel Alves 10.9k🇧🇷🇮🇱', 'id': 1252047156099325953, 'id_str': '1252047156099325953', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/ejXTeFAXo5', 'expanded_url': 'https://twitter.com/i/web/status/1421519577461231622', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215167364787282e+18;1421516736478728198;1.252047156099326e+18;1252047156099325953;Ezequiel_alv1;{'id': 1418242086596403209, 'id_str': '1418242086596403209', 'name': 'AntônioPretensão', 'screen_name': 'AntnioPretenso1', 'location': '', 'description': '#VotoAudiável E Contagem Pública dos votos 🚨⚖️🗳⚖️🚨⚠️⚠️⚠️🙌🇧🇷🇵🇹🇮🇱🇺🇸🚨🇨🇺🚨🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f🇬🇧🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🇮🇹🇲🇨🇹🇼🇬🇷🇰🇷I’m Back The Conservador.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 113, 'friends_count': 367, 'listed_count': 0, 'created_at': 'Thu Jul 22 16:11:41 +0000 2021', 'favourites_count': 2197, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 613, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1418261404310806531/TFH1kmTC_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1418261404310806531/TFH1kmTC_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1418242086596403209/1626975169', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Sat Jul 31 17:14:02 +0000 2021;1421519534775836673;1421519534775836673;"@CNNBrasil Datena você não tem chance alguma de ganhar para presidente. 
Lula e Bolsonaro já estão no 2° turnoseha… https://t.co/ycBtQYzhXY";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CNNBrasil', 'name': 'CNN Brasil', 'id': 809124436880322561, 'id_str': '809124436880322561', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/ycBtQYzhXY', 'expanded_url': 'https://twitter.com/i/web/status/1421519534775836673', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;8.091244368803226e+17;809124436880322561;CNNBrasil;{'id': 855068368772227072, 'id_str': '855068368772227072', 'name': 'Eustáquio Luiz de Ol', 'screen_name': 'OlEustaquio', 'location': 'Coração Eucarístico, Belo Horizonte', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3, 'friends_count': 7, 'listed_count': 0, 'created_at': 'Thu Apr 20 14:39:20 +0000 2017', 'favourites_count': 4, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 2815, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/855780775651889152/d9gZxnYn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/855780775651889152/d9gZxnYn_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;{'id': 'd9d978b087a92583', 'url': 'https://api.twitter.com/1.1/geo/id/d9d978b087a92583.json', 'place_type': 'city', 'name': 'Belo Horizonte', 'full_name': 'Belo Horizonte, Brazil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-44.062789, -20.059816], [-43.856856, -20.059816], [-43.856856, -19.777568], [-44.062789, -19.777568]]]}, 'attributes': {}};;False;0;0;False;False
4;Sat Jul 31 17:14:00 +0000 2021;1421519528597483523;1421519528597483523;@elisaraujo2010 @observotariopig O pavor do  🤡 é Lula ser seu adversário, os outros concorrentes ele comeria com fa… https://t.co/YOWXR71Z1r;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elisaraujo2010', 'name': 'Elis Araújo', 'id': 104160766, 'id_str': '104160766', 'indices': [0, 15]}, {'screen_name': 'observotariopig', 'name': 'Lula Presidente', 'id': 405900747, 'id_str': '405900747', 'indices': [16, 32]}], 'urls': [{'url': 'https://t.co/YOWXR71Z1r', 'expanded_url': 'https://twitter.com/i/web/status/1421519528597483523', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4211590580154614e+18;1421159058015461376;104160766.0;104160766;elisaraujo2010;{'id': 399092326, 'id_str': '399092326', 'name': '#EuAvisei', 'screen_name': 'Rangel_Lucia', 'location': 'Brasilia DF', 'description': 'Os militantes não vem ao mundo em busca do seu, vem entregar a alma por um punhado de sonhos. Mujica', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4256, 'friends_count': 2099, 'listed_count': 31, 'created_at': 'Thu Oct 27 00:04:15 +0000 2011', 'favourites_count': 38666, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 407642, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '94D487', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme12/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme12/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1393594902844411904/a5p2ohi2_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1393594902844411904/a5p2ohi2_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/399092326/1604435491', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Sat Jul 31 17:13:54 +0000 2021;1421519500000776196;1421519500000776196;"@carloscezarcjr @GeracaodeValor @AriSanSouza População que elegeu Dilma e Lula. Kkkķkkk
Fácil essa.
Brasileiro, que… https://t.co/8mPciCuGxa";True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'carloscezarcjr', 'name': 'Carlos Cezar', 'id': 635764127, 'id_str': '635764127', 'indices': [0, 15]}, {'screen_name': 'GeracaodeValor', 'name': 'Flávio Augusto', 'id': 228120886, 'id_str': '228120886', 'indices': [16, 31]}, {'screen_name': 'AriSanSouza', 'name': 'Ari Souza', 'id': 1087060813196771329, 'id_str': '1087060813196771329', 'indices': [32, 44]}], 'urls': [{'url': 'https://t.co/8mPciCuGxa', 'expanded_url': 'https://twitter.com/i/web/status/1421519500000776196', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.421448379708674e+18;1421448379708674055;635764127.0;635764127;carloscezarcjr;{'id': 1217606280136790018, 'id_str': '1217606280136790018', 'name': 'Tanda🤡', 'screen_name': 'OlhoDeTandera02', 'location': 'Río Negro, Argentina', 'description': 'WTF!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 247, 'friends_count': 357, 'listed_count': 0, 'created_at': 'Thu Jan 16 00:35:54 +0000 2020', 'favourites_count': 20423, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7272, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1298401922106437634/Gc0uYizz_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1298401922106437634/Gc0uYizz_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1217606280136790018/1608330136', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Sat Jul 31 17:13:52 +0000 2021;1421519493445079040;1421519493445079040;@DeputadoFederal Muita, muita podridão! Quando Lula assumir em 2023, revoga esses atos espúrios e o povo vai conhec… https://t.co/uSuSDNY0d9;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DeputadoFederal', 'name': 'Paulo Pimenta', 'id': 22864100, 'id_str': '22864100', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/uSuSDNY0d9', 'expanded_url': 'https://twitter.com/i/web/status/1421519493445079040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.421481519403651e+18;1421481519403651072;22864100.0;22864100;DeputadoFederal;{'id': 1205139485140361217, 'id_str': '1205139485140361217', 'name': 'Marcelo', 'screen_name': 'Marcelo59427703', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 248, 'friends_count': 264, 'listed_count': 1, 'created_at': 'Thu Dec 12 14:57:21 +0000 2019', 'favourites_count': 24755, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 33821, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417837291406565378/P-1QjPeg_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417837291406565378/P-1QjPeg_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1205139485140361217/1626979434', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Sat Jul 31 17:13:46 +0000 2021;1421519467595640841;1421519467595640841;O STF inocentou lula,tornou lula elegível,como na política brasileira,nada e feito de graça,quanto não deve ter sido o valor da fatura,;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 941802834881859584, 'id_str': '941802834881859584', 'name': 'Tadeu SS Rocha', 'screen_name': 'sued_rocha', 'location': 'Av delfim Moreira 710 Leblon ', 'description': 'A corrupção de um país mata mais do que uma guerra', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2680, 'friends_count': 4744, 'listed_count': 2, 'created_at': 'Fri Dec 15 22:51:08 +0000 2017', 'favourites_count': 1089, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 25923, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1185659698713956352/wxbRSQs__normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1185659698713956352/wxbRSQs__normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941802834881859584/1624355634', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;{'id': 'f2e33a76326de9a3', 'url': 'https://api.twitter.com/1.1/geo/id/f2e33a76326de9a3.json', 'place_type': 'city', 'name': 'Bayeux', 'full_name': 'Bayeux, Brasil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-34.9658419, -7.171002], [-34.89098, -7.171002], [-34.89098, -7.108066], [-34.9658419, -7.108066]]]}, 'attributes': {}};;False;0;0;False;False
8;Sat Jul 31 17:13:44 +0000 2021;1421519461216030721;1421519461216030721;@veramariams Barroso e Lula são comparsas;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'veramariams', 'name': 'VERA MARIA ALBUQUERQ', 'id': 840977811057868800, 'id_str': '840977811057868800', 'indices': [0, 12]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4215175480766423e+18;1421517548076642307;8.409778110578688e+17;840977811057868800;veramariams;{'id': 1401687000433008641, 'id_str': '1401687000433008641', 'name': 'MAURO Dias', 'screen_name': 'MAURODi32333315', 'location': '', 'description': 'Conservador cristão Brasil acima de tudo Deus acima de todos #Bolsonaro51 2022', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2747, 'friends_count': 5001, 'listed_count': 0, 'created_at': 'Sun Jun 06 23:47:28 +0000 2021', 'favourites_count': 1212, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 638, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1401687533533159424/gMbyM-Q7_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1401687533533159424/gMbyM-Q7_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Sat Jul 31 17:13:36 +0000 2021;1421519426445271041;1421519426445271041;@Thayna_lmf kkkkk acho melhor esse ciro procurar outras formas de tentar ganhar uma eleição, só atacar o lula n vai dar n kkkkk;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Thayna_lmf', 'name': 'Thayná Miranda 🇧🇷', 'id': 1045887818579542016, 'id_str': '1045887818579542016', 'indices': [0, 11]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";1.4204773510082765e+18;1420477351008276485;1.045887818579542e+18;1045887818579542016;Thayna_lmf;"{'id': 1413137574164451333, 'id_str': '1413137574164451333', 'name': 'Ary', 'screen_name': 'girlsexpect_', 'location': 'Brasil', 'description': ""it's all temporary 👽"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 234, 'friends_count': 221, 'listed_count': 0, 'created_at': 'Thu Jul 08 14:07:30 +0000 2021', 'favourites_count': 186, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 523, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1413148959707582472/96Mz9qc6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1413148959707582472/96Mz9qc6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1413137574164451333/1625755940', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []}";;;;;False;0;0;False;False
