;text
0;queria um hobby, pensando em voltar a andar de skate ou sla
1;.: “O skate é um estilo de vida muito show” https://t.co/2dfgMlFZxY
2;Primeiro campeonato de skate na minha vida …. Segundo lugar que sensação brutal
3;@juliette Declato ultramoderno, que consiste em em realizar todos esses esportes ao mesmo tempo: surfe, canoagem, f… https://t.co/xw9NuMiyJH
4;Não sei andar de skate
5;@NinjaMedica @LKastelar Boneco broken cancela a minha passiva de isolamento enquanto o player ta fazendo manobra de skate a 5 km do pc
6;Tenho tanto jeito para falar com raparigas como tenho para andar de skate
7;Os únicos que fala que skate e coisa de vagabundo são os próprios skatistas boy loco querendo paga de malvadão https://t.co/v9ayUJmssx
8;E se eu comprar um skate novo hoje?
9;vou comprar 1 skate só p lançar essa manobra aí https://t.co/nwuSio5GxA
10;Deixei um pedaço enorme de pele na lixa do meu skate a fazer um kickflip descalço. 100 euros mais fáceis da minha vida. Ahahha.
11;@mariacecilia_00 o skate, até mesmo o mais mainstream (como o de olimpíada), é muito underground, então fica aquela… https://t.co/bwE7LyNwJ3
12;@juliette skate ou vôlei viu gata
13;judô, karatê, skate/long, surf (tentei, muito difícil nam) muay-thai, volei, handebol, basquete (bem pouco) hóquei,… https://t.co/BOZvc1BN4c
14;Agorinha é hora de tirar a prova se ainda manjo no skate, 6 anos enferrujada será q sai pelo menos as manobras básicas? Eis a questão
15;@jotamarquesrj Vôlei, handebol, futebol, bike, skate, surf, natação, mergulho, trilheira fanática. Hoje em dia (ant… https://t.co/2cnmmizePO
16;pedro comprou coisinha de skate e tá todo fofo feliz
17;Vai tomar no cu nike 350 na camisa da seleção olímpica do skate é sacanagem
18;@infpswho Nem andar de skate eu sei🤡
19;"ESSA ARTE É TAO LINDA
eles foram comprar comida pra comer da pista de skate sim vdd https://t.co/jRQmYHIvmX"
