;text
0;"Realização do dia: SAI DA FMU

EU SOU A PESSOA MAIS FELIZ DO MUNDO!

Próxima estação: FACULDADE DECENTE"
1;EU ODEIO TANTO A FMU PUTA QUE PARIUUUU
2;So queria registrar meu ódio pela FMU https://t.co/UCPqSAngMY
3;meu deus mano a fmu tá fodendo minha vida
4;Fazem 4 dias a fmu não me retorna, tô em depressão
5;MEU DEUS EU PASSEI NO VESTIBULAR DA FMU😭😭
6;@SOURemote UÉ ACHEI QUE ERA NA FMU TBM ESSE CURSO DE PP
7;"eu: hoje ninguém vai estragar o meu dia
fmu: vc que acha querida"
8;O ensino da fmu é excelente, mas a comunicação deixa muuuuuuuuuuito a desejar
9;@raaphafrate 28… fui tentar a xepa mas fui na FMU e não na UBS. Você viu que eu tô sabendo legal né?
10;@roirenanzin é na fmu da liberdade ahahahah
11;fmu vc ja encheu minha paciencia
12;aulas mal começaram e a fmu ja ta me tirando do serio
13;FMU EU ODEIO VOCÊS
14;Eu não acredito que a FMU vai ter a pachorra de retornar as aulas antes das olimpíadas acabarem... Como vou madruga… https://t.co/72vC6PgkBM
15;@whysabrins Mano a fmu me prometeu presencial e hoje eu fui lá e descobri que é ead
16;sério fmu sai do meu pé
17;Fmu eu te odeioo
18;fmu continua fudendo a minha vida
19;"Kallyna sem dúvida achou seu lugar no jornalismo:
o Pânico
Tadinha, ela fala Fabio 'Wajngarter'
'FMU' ao invés de F… https://t.co/zLItXKKZ0x"
20;Mano eu odeio MUITO o administrativo da FMU, mas com muita força... ASSINA MEU PAPEL KRAIO PORRA
21;sim, ocorreu um milagre ........... consegui ser atendido pela FMU por DOIS dias seguidos em 5 min após a primeira mensagem
22;meu deus q dúvida, unisa ou fmu? 😩
23;@marianafreitasl ahahahaha a fmu comigo é igual e eu só agendei o vestibular, nem consegui ir pq tava doente…
24;largando tudo para fazer ed física na fmu e virar personal trainer da hyomin 🏃🏻‍♀️
25;Fiz 1 semestre de Publicidade e Propaganda na FMU, em 2013, antes de ir pra Metodista. Até hoje recebo SMS e e-mail… https://t.co/CExZeo7Ukf
26;Ja fui com mainha na usp e n fmu e não fazem a cirurgia de Hórus
27;Hoje fui levar o Bene no Lucy Montoro e descobri que FMUSP significa Faculdade de Medicina da USP e não uma junção… https://t.co/Dhn7N9i9bX
28;@TutsSeabra @anhembimorumbi Estamos sofrendo da mesma dor e em faculdades diferentes!! A fmu cobrando mó nota , ped… https://t.co/pcG4uwDkAv
29;bom dia PARA QUEM?? so se for para quem não é aluno da fmu ne pq essa universidade não coopera para um bom dia na v… https://t.co/R1ZbvqeJU0
30;Pqp, quando penso que a fmu não tem mais oq surpreender , eles vão lá e te surpreende denovo 🤮
31;preciso conversar com alguém que faça publicidade e propaganda na FMU... alguém para se voluntariar? 👀
