;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Wed Jul 28 01:35:34 +0000 2021;1420196197801861122;1420196197801861122;@wya_phat this fmu😭😭😭😭;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wya_phat', 'name': 'Madam Leesh🪐🐉', 'id': 816167009067143173, 'id_str': '816167009067143173', 'indices': [0, 9]}], 'urls': []};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4198634565520015e+18;1419863456552001539;8.161670090671432e+17;816167009067143173;wya_phat;{'id': 1171774045118959617, 'id_str': '1171774045118959617', 'name': 'S🦋.', 'screen_name': 'therealshanaa_', 'location': 'Miami, FL', 'description': 't&f | AlcornStateUniv. | 🇯🇲 ig: thereall.shana', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 472, 'friends_count': 521, 'listed_count': 0, 'created_at': 'Wed Sep 11 13:14:46 +0000 2019', 'favourites_count': 7577, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 2075, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1417270081462181888/VWq_rxqA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1417270081462181888/VWq_rxqA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1171774045118959617/1626738494', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Wed Jul 28 01:10:47 +0000 2021;1420189960657854468;1420189960657854468;We are showing Moana tonight for #moviesbymoonlight #outdoorcinema at @travisparksa. Starts a dusk. Free… https://t.co/pqNjUueItQ;True;{'hashtags': [{'text': 'moviesbymoonlight', 'indices': [33, 51]}, {'text': 'outdoorcinema', 'indices': [52, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TravisParkSA', 'name': 'Travis Park', 'id': 2364684740, 'id_str': '2364684740', 'indices': [70, 83]}], 'urls': [{'url': 'https://t.co/pqNjUueItQ', 'expanded_url': 'https://twitter.com/i/web/status/1420189960657854468', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]};{'iso_language_code': 'en', 'result_type': 'recent'};"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";;;;;;{'id': 237031202, 'id_str': '237031202', 'name': 'Slab Cinema', 'screen_name': 'slabcinema', 'location': 'San Antonio Texas', 'description': 'Free public outdoor movie screenings and equipment rental for private movie parties.', 'url': 'https://t.co/wH9I4badGh', 'entities': {'url': {'urls': [{'url': 'https://t.co/wH9I4badGh', 'expanded_url': 'http://www.slabcinema.com', 'display_url': 'slabcinema.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 996, 'friends_count': 203, 'listed_count': 20, 'created_at': 'Tue Jan 11 22:47:14 +0000 2011', 'favourites_count': 410, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 1733, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/573970148459028481/J2CYRhmR_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/573970148459028481/J2CYRhmR_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/237031202/1597620621', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': '65B0DA', 'profile_sidebar_fill_color': '7AC3EE', 'profile_text_color': '3D1957', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};{'type': 'Point', 'coordinates': [29.42797218, -98.48908669]};{'type': 'Point', 'coordinates': [-98.48908669, 29.42797218]};{'id': '3df4f427b5a60fea', 'url': 'https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json', 'place_type': 'city', 'name': 'San Antonio', 'full_name': 'San Antonio, TX', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]}, 'attributes': {}};;False;0;0;False;False
2;Wed Jul 28 00:47:45 +0000 2021;1420184166503755777;1420184166503755777;"#متتتتتتىىىىى_بتتتتزووووج_الثثثثثثانيه
امينه ، @Trend966
FmU";False;{'hashtags': [{'text': 'متتتتتتىىىىى_بتتتتزووووج_الثثثثثثانيه', 'indices': [0, 38]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Trend966', 'name': 'الحساب الرسمي لترند المملكة', 'id': 218005751, 'id_str': '218005751', 'indices': [47, 56]}], 'urls': []};{'iso_language_code': 'ar', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 1549147538, 'id_str': '1549147538', 'name': 'Not Good With Ritz ', 'screen_name': 'NotGoodwithRitz', 'location': 'The Lab', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 24, 'friends_count': 171, 'listed_count': 0, 'created_at': 'Wed Jun 26 21:31:12 +0000 2013', 'favourites_count': 2, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 67, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000050686969/1959f6f40b6321183b94ba894b2de27f_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000050686969/1959f6f40b6321183b94ba894b2de27f_normal.jpeg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Wed Jul 28 00:15:19 +0000 2021;1420176003326873605;1420176003326873605;@o_fmu ゲッソーさんおはヨーSUN🍌;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'o_fmu', 'name': 'ゲッソー', 'id': 1015942093410168832, 'id_str': '1015942093410168832', 'indices': [0, 6]}], 'urls': []};{'iso_language_code': 'ja', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4201469880545034e+18;1420146988054503427;1.0159420934101688e+18;1015942093410168832;o_fmu;{'id': 990007311795077120, 'id_str': '990007311795077120', 'name': 'ぐっちぃ', 'screen_name': 'gucchii107ry', 'location': '兵庫県', 'description': '関西民でP（ミリ・シャニ・デレ）・トラセ民（青）・Roselia派な大学院生', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 768, 'friends_count': 786, 'listed_count': 27, 'created_at': 'Fri Apr 27 23:18:31 +0000 2018', 'favourites_count': 89744, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 91658, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1415106737623818242/6LtlBwQ3_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1415106737623818242/6LtlBwQ3_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/990007311795077120/1626222785', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Wed Jul 28 00:10:42 +0000 2021;1420174840087076866;1420174840087076866;"Realização do dia: SAI DA FMU

EU SOU A PESSOA MAIS FELIZ DO MUNDO!

Próxima estação: FACULDADE DECENTE";False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1204840349778231303, 'id_str': '1204840349778231303', 'name': 'sua gata', 'screen_name': 'IngrizGarciia', 'location': '', 'description': 'me perdi no abismo e voltei', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 65, 'friends_count': 154, 'listed_count': 0, 'created_at': 'Wed Dec 11 19:08:33 +0000 2019', 'favourites_count': 1296, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2451, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1413981961845198849/rnyU1XIL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1413981961845198849/rnyU1XIL_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1204840349778231303/1625954259', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
5;Wed Jul 28 00:04:28 +0000 2021;1420173272520536067;1420173272520536067;mlrt just fmu 😂😂😂😂;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'lt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 4794493332, 'id_str': '4794493332', 'name': '🌱', 'screen_name': '_brvce', 'location': 'cocreating, uni', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 361, 'friends_count': 345, 'listed_count': 0, 'created_at': 'Thu Jan 21 19:30:19 +0000 2016', 'favourites_count': 14925, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7609, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1414255666001235969/1erq8oZQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1414255666001235969/1erq8oZQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4794493332/1586105213', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Wed Jul 28 00:03:49 +0000 2021;1420173109378834436;1420173109378834436;EU ODEIO TANTO A FMU PUTA QUE PARIUUUU;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1063834672776515585, 'id_str': '1063834672776515585', 'name': 'Ketttt', 'screen_name': 'KBortoleto', 'location': 'Brasil', 'description': 'vulgo rainha do sertanejo', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 363, 'friends_count': 672, 'listed_count': 0, 'created_at': 'Sat Nov 17 16:42:05 +0000 2018', 'favourites_count': 40540, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 15460, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1354254290718777350/--QPqdCX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1354254290718777350/--QPqdCX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1063834672776515585/1577504281', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Tue Jul 27 23:56:03 +0000 2021;1420171153264549888;1420171153264549888;@3ziiiz489 كثير والله;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '3ziiiz489', 'name': 'عبدالعزيز العتيبي 🤵🏻⚖️ .', 'id': 883422897859153921, 'id_str': '883422897859153921', 'indices': [0, 10]}], 'urls': []};{'iso_language_code': 'ar', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.420127789194285e+18;1420127789194285060;8.834228978591539e+17;883422897859153921;3ziiiz489;{'id': 1236359899757662208, 'id_str': '1236359899757662208', 'name': 'Farida🦋', 'screen_name': 'fmu_45', 'location': 'يمكن قلبه ؟', 'description': 'غاب الوصِل والذكرى عيت تغيَب.', 'url': 'https://t.co/AvoYyfCCm8', 'entities': {'url': {'urls': [{'url': 'https://t.co/AvoYyfCCm8', 'expanded_url': 'http://tellonym.me/muf_24', 'display_url': 'tellonym.me/muf_24', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 384, 'friends_count': 393, 'listed_count': 0, 'created_at': 'Sat Mar 07 18:36:02 +0000 2020', 'favourites_count': 6916, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4479, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1236359899757662208/1616945601', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Tue Jul 27 23:55:34 +0000 2021;1420171035283009541;1420171035283009541;@w7iiiw ولا وحده;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'w7iiiw', 'name': 'غيثً', 'id': 2515773123, 'id_str': '2515773123', 'indices': [0, 7]}], 'urls': []};{'iso_language_code': 'ar', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4201504620036956e+18;1420150462003695621;2515773123.0;2515773123;w7iiiw;{'id': 1236359899757662208, 'id_str': '1236359899757662208', 'name': 'Farida🦋', 'screen_name': 'fmu_45', 'location': 'يمكن قلبه ؟', 'description': 'غاب الوصِل والذكرى عيت تغيَب.', 'url': 'https://t.co/AvoYyfCCm8', 'entities': {'url': {'urls': [{'url': 'https://t.co/AvoYyfCCm8', 'expanded_url': 'http://tellonym.me/muf_24', 'display_url': 'tellonym.me/muf_24', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 384, 'friends_count': 393, 'listed_count': 0, 'created_at': 'Sat Mar 07 18:36:02 +0000 2020', 'favourites_count': 6916, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4479, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1236359899757662208/1616945601', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
9;Tue Jul 27 23:54:51 +0000 2021;1420170851035623425;1420170851035623425;@3ziiiz489 ما يهم ياخي والله 😂;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '3ziiiz489', 'name': 'عبدالعزيز العتيبي 🤵🏻⚖️ .', 'id': 883422897859153921, 'id_str': '883422897859153921', 'indices': [0, 10]}], 'urls': []};{'iso_language_code': 'ar', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.420119850970665e+18;1420119850970664963;8.834228978591539e+17;883422897859153921;3ziiiz489;{'id': 1236359899757662208, 'id_str': '1236359899757662208', 'name': 'Farida🦋', 'screen_name': 'fmu_45', 'location': 'يمكن قلبه ؟', 'description': 'غاب الوصِل والذكرى عيت تغيَب.', 'url': 'https://t.co/AvoYyfCCm8', 'entities': {'url': {'urls': [{'url': 'https://t.co/AvoYyfCCm8', 'expanded_url': 'http://tellonym.me/muf_24', 'display_url': 'tellonym.me/muf_24', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 384, 'friends_count': 393, 'listed_count': 0, 'created_at': 'Sat Mar 07 18:36:02 +0000 2020', 'favourites_count': 6916, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4479, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412893284377239557/KKCtsIN1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1236359899757662208/1616945601', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
